,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
000,-11.03125,-10.9765625,-5.12109375,-10.515625,-11.0859375,-9.8828125,-9.3671875,-9.28125,-9.53125,-11.7890625
001,-9.859375,-8.8125,-4.9609375,-9.75,-9.984375,-8.2109375,-7.0078125,-9.0859375,-8.546875,-7.109375
002,-10.875,-6.04296875,-4.08203125,-9.9296875,-9.7734375,-6.37890625,-6.01953125,-8.421875,-8.28125,-9.265625
003,-10.578125,-9.3828125,-4.8203125,-8.21875,-9.671875,-8.75,-7.9375,-9.6796875,-8.4765625,-10.375
004,-8.0390625,-7.45703125,-4.66015625,-6.46484375,-10.4375,-8.734375,-5.06640625,-9.625,-8.6171875,-9.2734375
005,-9.7421875,-8.5546875,-4.22265625,-8.3359375,-10.4921875,-6.92578125,-6.26953125,-9.03125,-9.078125,-10.0546875
006,-10.078125,-9.609375,-5.1171875,-7.8203125,-11.5859375,-7.5,-6.3125,-9.0,-10.328125,-9.2578125
007,-16.375,-8.3203125,-14.375,-9.5859375,-23.578125,-11.796875,-17.40625,-14.8515625,-21.296875,-14.3203125
008,-11.0234375,-9.9609375,-5.80078125,-8.921875,-11.703125,-9.8984375,-10.265625,-12.5703125,-9.296875,-10.546875
009,-11.7109375,-6.796875,-4.59375,-9.8203125,-11.765625,-8.125,-7.6875,-10.2734375,-9.171875,-9.8046875
010,-10.0703125,-8.1171875,-5.90234375,-11.0234375,-9.7890625,-8.8125,-7.87890625,-10.3125,-10.1640625,-10.59375
011,-6.51953125,-9.1875,-6.26953125,-9.265625,-9.5625,-7.97265625,-7.01953125,-9.1953125,-10.1171875,-9.03125
012,-10.671875,-7.44140625,-5.84765625,-9.7734375,-9.6640625,-9.0078125,-6.42578125,-8.671875,-8.53125,-8.4296875
013,-12.078125,-8.578125,-5.515625,-8.2109375,-9.7109375,-8.8046875,-7.28125,-9.09375,-8.6875,-10.609375
014,-8.8359375,-6.65234375,-4.56640625,-8.2578125,-10.0390625,-8.0703125,-4.37890625,-8.6875,-8.59375,-8.9375
015,-10.7109375,-7.90234375,-4.98046875,-9.6484375,-10.4609375,-7.26171875,-5.74609375,-9.5546875,-10.9140625,-8.90625
016,-11.5546875,-7.98828125,-4.68359375,-9.1953125,-10.671875,-7.54296875,-5.20703125,-8.4375,-10.4765625,-8.1875
017,-12.5625,-8.390625,-7.5390625,-9.625,-10.375,-9.5234375,-4.875,-8.6171875,-10.5,-7.9140625
018,-9.5,-7.5859375,-5.296875,-8.703125,-8.890625,-8.7578125,-5.28125,-10.6796875,-8.03125,-7.796875
019,-10.8984375,-7.27734375,-5.34765625,-10.9921875,-10.9140625,-8.5546875,-5.43359375,-10.2265625,-9.8359375,-7.95703125
020,-10.7265625,-7.3203125,-4.9765625,-9.9609375,-8.390625,-9.71875,-5.578125,-9.3359375,-8.46875,-8.484375
021,-10.4765625,-5.87890625,-5.03515625,-9.6953125,-9.0703125,-8.640625,-5.83984375,-9.1171875,-7.73828125,-7.16796875
022,-10.15625,-5.48046875,-4.55859375,-9.140625,-8.828125,-8.03125,-5.08984375,-8.8125,-7.57421875,-7.83984375
023,-10.25,-6.84765625,-4.96484375,-8.2421875,-8.3359375,-8.140625,-6.07421875,-8.765625,-7.47265625,-8.03125
024,-9.6640625,-7.04296875,-5.22265625,-7.92578125,-8.96875,-9.59375,-4.76953125,-9.03125,-8.34375,-8.609375
025,-10.4921875,-6.37109375,-5.27734375,-9.5234375,-9.7265625,-8.515625,-6.85546875,-9.4765625,-8.8203125,-9.1796875
026,-9.8046875,-5.76171875,-5.05078125,-8.0859375,-10.15625,-7.90234375,-5.08203125,-8.546875,-8.5546875,-8.5078125
027,-10.3671875,-6.62109375,-5.58203125,-8.0703125,-9.3515625,-8.9765625,-4.82421875,-8.1875,-7.87890625,-8.0859375
028,-9.0078125,-6.7734375,-4.921875,-8.0,-9.0546875,-9.1640625,-6.5859375,-11.125,-6.9140625,-8.46875
029,-9.3984375,-5.875,-4.8515625,-9.484375,-10.8359375,-7.6171875,-6.3046875,-10.1015625,-8.296875,-8.484375
030,-10.4296875,-8.7109375,-5.84375,-9.0234375,-8.9453125,-10.3828125,-7.3828125,-9.484375,-8.34375,-9.859375
031,-9.5703125,-7.4140625,-6.0703125,-8.0234375,-9.421875,-9.3515625,-7.15625,-9.28125,-8.3203125,-8.7734375
032,-10.34375,-7.34375,-5.9296875,-7.9453125,-8.9921875,-10.1640625,-6.28125,-7.578125,-8.234375,-8.921875
033,-9.7421875,-7.796875,-5.8203125,-7.1875,-8.625,-9.21875,-6.96875,-8.6171875,-8.0859375,-9.6171875
034,-8.234375,-6.5234375,-5.5703125,-7.1171875,-8.9375,-9.8203125,-4.640625,-8.0859375,-8.265625,-9.3046875
035,-11.0546875,-7.3046875,-7.1015625,-8.8359375,-10.7578125,-10.046875,-7.96875,-8.828125,-9.6484375,-9.7109375
036,-10.140625,-6.52734375,-5.90234375,-7.87109375,-11.46875,-9.546875,-6.15234375,-8.3359375,-10.046875,-9.3125
037,-10.5,-6.078125,-5.8671875,-7.7421875,-10.46875,-8.4375,-5.4921875,-7.671875,-9.1015625,-9.4140625
038,-8.3515625,-6.1796875,-5.640625,-7.328125,-9.1875,-8.328125,-5.859375,-8.8125,-8.4453125,-8.8359375
039,-8.765625,-4.98828125,-5.41796875,-7.71484375,-8.25,-6.69921875,-5.16796875,-8.5078125,-9.21875,-10.21875
040,-7.9609375,-6.296875,-5.2421875,-6.9609375,-9.5,-10.359375,-4.5390625,-8.765625,-9.578125,-8.5078125
041,-7.75390625,-5.73046875,-5.26953125,-7.19921875,-10.484375,-9.5078125,-4.91796875,-8.6171875,-9.4296875,-7.73046875
042,-9.125,-6.1328125,-6.125,-8.0390625,-9.9140625,-9.9296875,-4.90625,-7.734375,-9.7265625,-8.1171875
043,-8.6484375,-6.3125,-5.2890625,-6.6640625,-9.3984375,-8.8828125,-5.0,-8.5234375,-9.0625,-8.3984375
044,-7.19140625,-5.52734375,-5.04296875,-5.72265625,-9.5234375,-9.09375,-4.12109375,-8.1484375,-9.296875,-8.4140625
045,-8.7578125,-6.734375,-6.140625,-7.6796875,-10.6484375,-9.6640625,-5.1328125,-8.90625,-10.2890625,-8.6171875
046,-8.875,-6.36328125,-6.06640625,-7.19140625,-11.3984375,-8.6953125,-5.36328125,-8.0703125,-11.015625,-8.421875
047,-10.4921875,-7.05078125,-7.05859375,-7.48828125,-11.0703125,-8.9453125,-5.54296875,-7.80859375,-11.296875,-8.3671875
048,-9.265625,-6.9765625,-5.8046875,-7.1015625,-10.2265625,-9.4765625,-6.2109375,-9.7265625,-9.71875,-7.671875
049,-10.03125,-7.921875,-5.7109375,-8.1484375,-10.671875,-6.28125,-6.765625,-8.203125,-10.9765625,-8.84375
050,-8.8671875,-7.11328125,-4.48828125,-7.33203125,-9.1171875,-7.36328125,-6.41015625,-8.7265625,-8.9921875,-9.5859375
051,-8.8828125,-7.03515625,-4.86328125,-7.82421875,-10.15625,-7.80078125,-6.94140625,-9.25,-9.2421875,-8.71875
052,-9.5703125,-5.85546875,-4.08203125,-7.98046875,-9.9375,-7.46484375,-6.36328125,-7.99609375,-8.8828125,-8.6015625
053,-9.4453125,-6.609375,-5.03125,-7.4375,-9.890625,-7.765625,-7.234375,-8.6328125,-9.0546875,-9.2734375
054,-7.78515625,-6.28515625,-5.40234375,-7.07421875,-10.5234375,-8.5546875,-5.29296875,-9.3984375,-9.609375,-9.3125
055,-8.59375,-6.76171875,-4.90234375,-7.37890625,-10.5,-7.82421875,-6.12109375,-9.1875,-9.5703125,-9.4609375
056,-8.25,-6.4609375,-4.84375,-7.1640625,-11.3203125,-7.6796875,-6.484375,-8.828125,-10.4921875,-9.015625
057,-9.2265625,-6.90234375,-5.76171875,-7.34765625,-11.265625,-8.109375,-5.55859375,-8.578125,-10.4765625,-8.9609375
058,-8.2109375,-6.38671875,-5.17578125,-7.30859375,-10.75,-7.31640625,-6.94921875,-9.765625,-9.25,-8.6484375
059,-8.78125,-6.0546875,-4.9609375,-8.1875,-12.0859375,-6.84375,-6.46875,-9.2421875,-10.7578125,-8.9453125
060,-9.3515625,-8.1015625,-5.40234375,-8.4296875,-10.8203125,-8.8671875,-5.44140625,-8.5625,-10.1171875,-8.8828125
061,-8.59375,-6.78515625,-5.49609375,-8.3359375,-11.0078125,-8.234375,-5.65234375,-8.640625,-9.890625,-8.1328125
062,-9.34375,-6.20703125,-5.28515625,-8.3046875,-10.3984375,-7.43359375,-5.38671875,-8.09375,-9.46875,-8.3984375
063,-9.953125,-7.54296875,-5.60546875,-7.86328125,-10.21875,-8.4375,-6.30859375,-8.4140625,-9.4609375,-8.6015625
064,-8.2265625,-6.47265625,-5.45703125,-7.44921875,-10.1015625,-8.859375,-5.01953125,-8.1015625,-10.1484375,-7.99609375
065,-9.21875,-7.75,-5.8984375,-8.015625,-10.3125,-8.7265625,-5.4140625,-8.4375,-10.5390625,-8.828125
066,-8.984375,-7.828125,-5.0703125,-7.59375,-10.9921875,-8.1015625,-5.203125,-7.765625,-9.859375,-8.875
067,-10.21875,-7.33984375,-5.95703125,-7.35546875,-11.03125,-8.1484375,-4.97265625,-7.87109375,-10.3515625,-8.0390625
068,-8.7421875,-7.50390625,-5.39453125,-7.73828125,-10.2734375,-8.890625,-5.88671875,-9.046875,-8.953125,-8.015625
069,-9.3125,-8.9375,-6.375,-9.3515625,-9.390625,-9.5234375,-5.8828125,-9.421875,-10.0234375,-9.21875
070,-9.4453125,-8.3984375,-6.171875,-7.59375,-9.578125,-9.921875,-5.1171875,-8.3828125,-9.40625,-9.5546875
071,-8.953125,-7.45703125,-5.88671875,-7.50390625,-10.1875,-9.3203125,-5.28515625,-8.375,-9.1640625,-8.75
072,-9.9609375,-6.61328125,-5.48828125,-7.51171875,-10.140625,-8.8828125,-4.76953125,-7.44140625,-8.9453125,-8.2578125
073,-9.9921875,-7.5078125,-6.09375,-7.6171875,-9.4765625,-8.3125,-5.84375,-7.8125,-8.921875,-8.59375
074,-8.1640625,-6.578125,-6.0390625,-7.3125,-9.6875,-9.1796875,-4.6015625,-8.15625,-9.21875,-8.671875
075,-9.1796875,-7.5859375,-6.3671875,-7.609375,-9.640625,-8.8125,-5.578125,-8.4296875,-10.109375,-8.71875
076,-9.6328125,-7.9921875,-6.6640625,-6.6796875,-10.703125,-8.75,-5.609375,-8.125,-10.328125,-8.71875
077,-10.0546875,-7.93359375,-6.87109375,-7.42578125,-9.9375,-8.75,-5.91796875,-8.6328125,-10.078125,-9.1796875
078,-8.9140625,-7.6015625,-6.2265625,-7.1484375,-9.1484375,-8.8671875,-5.7421875,-9.390625,-8.609375,-8.0390625
079,-10.109375,-6.55859375,-6.42578125,-9.0234375,-10.609375,-7.83984375,-6.49609375,-8.46875,-8.9140625,-8.234375
080,-9.2578125,-9.3046875,-5.28125,-8.03125,-9.6484375,-11.015625,-7.6796875,-10.0546875,-8.078125,-8.671875
081,-8.3671875,-7.95703125,-5.13671875,-7.66796875,-9.9921875,-9.9375,-7.30859375,-9.6328125,-7.86328125,-7.88671875
082,-9.2890625,-7.125,-5.4296875,-8.3046875,-9.1015625,-8.8671875,-6.8359375,-8.84375,-7.8359375,-7.7890625
083,-9.296875,-8.0078125,-5.40625,-7.8125,-9.0,-9.3828125,-7.9765625,-9.703125,-8.015625,-8.828125
084,-7.66015625,-7.02734375,-5.12109375,-6.85546875,-9.6015625,-9.9765625,-5.67578125,-9.234375,-8.46875,-8.1171875
085,-8.46875,-7.4765625,-5.390625,-8.2265625,-10.2109375,-9.0859375,-6.5390625,-9.125,-9.046875,-7.90625
086,-8.8828125,-7.21875,-4.921875,-7.6875,-10.4765625,-8.484375,-6.5546875,-8.265625,-8.6171875,-7.7890625
087,-10.078125,-8.0234375,-6.40625,-7.5390625,-11.0546875,-9.2265625,-6.3984375,-9.1640625,-9.5859375,-8.109375
088,-9.2734375,-8.0625,-4.5,-8.359375,-9.8984375,-9.3671875,-7.6328125,-10.8203125,-8.6953125,-9.0
089,-9.03125,-7.203125,-4.84375,-8.4296875,-10.734375,-8.5859375,-6.9921875,-10.375,-8.953125,-8.5078125
090,-9.921875,-7.38671875,-4.69921875,-9.359375,-10.578125,-9.2109375,-5.79296875,-9.7734375,-8.9296875,-9.1953125
091,-9.59375,-6.578125,-4.625,-8.6171875,-10.7109375,-8.2109375,-6.078125,-9.5234375,-8.484375,-8.53125
092,-10.15625,-6.16015625,-4.53515625,-8.9375,-10.3359375,-8.0703125,-5.61328125,-8.1953125,-8.4765625,-8.4140625
093,-10.5546875,-6.77734375,-4.99609375,-8.6796875,-10.359375,-8.1640625,-6.93359375,-9.09375,-8.8046875,-9.40625
094,-9.078125,-5.765625,-4.7578125,-8.578125,-10.9609375,-8.3203125,-5.2734375,-8.984375,-9.2109375,-8.75
095,-9.671875,-6.6796875,-5.7265625,-9.09375,-11.515625,-8.171875,-6.578125,-9.1015625,-10.171875,-9.015625
096,-10.390625,-8.625,-7.3359375,-9.28125,-11.453125,-10.484375,-8.5,-8.46875,-12.0703125,-10.9140625
097,-10.8359375,-6.44921875,-6.44921875,-8.4140625,-11.5546875,-8.734375,-5.81640625,-8.1796875,-10.1640625,-8.7734375
098,-9.9296875,-7.15625,-5.3359375,-9.4375,-10.5390625,-8.78125,-6.421875,-10.3515625,-8.6328125,-8.40625
099,-11.3515625,-7.18359375,-5.55078125,-10.0,-10.3046875,-8.7734375,-6.72265625,-10.7109375,-9.9375,-9.09375
100,-9.4765625,-10.0234375,-5.02734375,-10.4296875,-9.359375,-10.890625,-6.56640625,-9.7734375,-10.03125,-12.703125
101,-9.25,-7.65234375,-5.91796875,-10.4921875,-7.83203125,-8.7890625,-8.6171875,-9.9609375,-7.10546875,-10.546875
102,-10.2578125,-8.796875,-6.31640625,-10.5859375,-9.7421875,-10.265625,-6.69921875,-9.5859375,-8.1640625,-10.3984375
103,-9.7734375,-9.546875,-6.6015625,-9.1796875,-9.046875,-10.125,-7.671875,-9.921875,-8.7265625,-10.0234375
104,-7.12890625,-8.328125,-6.58203125,-8.09375,-9.3359375,-11.9140625,-5.72265625,-9.203125,-9.5390625,-10.1171875
