,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.15625,-11.96875,-10.046875,-11.125,-11.7109375,-12.84375
1,-6.4765625,-12.5703125,-10.0703125,-10.8671875,-9.9375,-11.8203125
2,-6.3828125,-12.21875,-11.984375,-11.0234375,-10.2421875,-12.453125
3,-6.7890625,-12.65625,-11.9375,-12.1015625,-10.75,-12.921875
4,-6.90234375,-11.421875,-11.421875,-12.1171875,-11.40625,-12.5390625
5,-6.7578125,-11.0625,-10.1875,-10.5703125,-10.4609375,-12.3203125
6,-6.71484375,-11.703125,-11.0703125,-10.5703125,-11.7109375,-12.4375
7,-6.40625,-11.375,-10.046875,-9.3203125,-8.8515625,-11.015625
8,-6.37109375,-11.3046875,-10.7421875,-11.34375,-12.296875,-12.8515625
9,-6.59375,-12.0859375,-10.1875,-11.15625,-10.3984375,-12.015625
10,-6.72265625,-10.6796875,-11.328125,-12.609375,-10.6640625,-10.3359375
11,-6.5546875,-11.25,-11.9140625,-10.3984375,-11.078125,-13.0390625
12,-7.62890625,-12.5703125,-10.8203125,-13.15625,-12.3203125,-9.328125
13,-7.15234375,-12.3828125,-10.6796875,-11.5390625,-10.015625,-12.078125
14,-5.75390625,-12.21875,-10.7578125,-9.9296875,-10.1328125,-10.828125
15,-6.2421875,-12.15625,-10.734375,-9.8515625,-9.375,-10.875
16,-7.12890625,-12.9296875,-10.84375,-12.0078125,-11.6796875,-12.875
17,-7.00390625,-11.1328125,-10.109375,-10.328125,-10.375,-10.4296875
18,-6.734375,-12.1328125,-12.5546875,-11.9765625,-13.015625,-13.234375
19,-7.73046875,-11.8046875,-10.8203125,-10.7421875,-11.328125,-10.8671875
