,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-7.54296875,-13.4453125,-12.015625,-11.3515625,-10.5703125,-11.3984375
1,-8.2578125,-12.4375,-11.2578125,-12.2578125,-12.9453125,-9.828125
2,-7.203125,-14.1796875,-12.796875,-12.7109375,-11.3828125,-12.34375
3,-6.99609375,-12.578125,-12.640625,-12.2734375,-11.640625,-11.28125
4,-8.046875,-11.8203125,-11.765625,-11.7890625,-10.9609375,-11.6171875
5,-7.3515625,-11.53125,-9.65625,-10.2734375,-10.1875,-9.875
6,-8.6875,-12.375,-11.4609375,-11.9921875,-12.09375,-12.125
7,-7.87890625,-10.6484375,-10.5703125,-10.0234375,-10.796875,-11.8359375
8,-8.9609375,-13.234375,-10.8515625,-12.6875,-12.1796875,-13.5625
9,-7.83203125,-12.1796875,-11.3359375,-11.9609375,-12.203125,-12.359375
10,-6.87890625,-12.046875,-10.484375,-9.4375,-8.8359375,-8.9140625
11,-6.88671875,-12.6328125,-10.578125,-11.234375,-11.15625,-11.71875
12,-8.7734375,-11.375,-12.328125,-13.15625,-11.921875,-12.28125
13,-7.875,-12.7109375,-11.171875,-9.5859375,-10.25,-11.0625
14,-7.8359375,-14.640625,-13.375,-11.4765625,-11.8046875,-13.0078125
15,-7.328125,-11.5078125,-10.4921875,-9.9453125,-10.421875,-11.1953125
16,-9.859375,-13.0,-11.71875,-11.3984375,-12.15625,-12.53125
17,-10.1796875,-14.0703125,-13.21875,-12.4140625,-14.0390625,-13.1484375
18,-7.5703125,-12.9375,-11.5546875,-10.2265625,-10.2890625,-11.109375
19,-8.6328125,-11.8984375,-12.1875,-12.0625,-12.578125,-12.203125
