,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-5.390625,-5.8125,-5.265625,-5.78515625,-7.859375,-7.0078125
1,-4.75,-5.66796875,-5.26953125,-4.46875,-4.0703125,-5.45703125
2,-4.98828125,-5.33203125,-4.74609375,-4.15625,-4.2578125,-6.18359375
3,-5.30859375,-5.6953125,-4.84765625,-5.71484375,-5.25390625,-6.01171875
4,-4.87890625,-6.25,-5.26171875,-5.5703125,-5.80859375,-6.26953125
5,-4.34765625,-6.07421875,-5.84375,-5.92578125,-6.4140625,-5.1953125
6,-5.30859375,-5.66015625,-5.7578125,-6.0859375,-5.03125,-6.10546875
7,-4.97265625,-6.41796875,-5.8828125,-5.69921875,-5.109375,-5.015625
8,-4.81640625,-6.25,-7.09765625,-5.16796875,-8.5546875,-8.0625
9,-5.1953125,-5.95703125,-6.0546875,-4.87109375,-5.25,-6.3203125
10,-4.16015625,-6.0703125,-6.34765625,-6.12109375,-5.51953125,-5.96875
11,-4.94140625,-5.61328125,-6.1953125,-6.6015625,-6.2265625,-5.99609375
12,-7.0859375,-5.37109375,-6.49609375,-6.59765625,-6.53125,-8.0390625
13,-3.900390625,-3.8984375,-4.375,-5.796875,-6.37890625,-6.49609375
14,-5.69140625,-5.296875,-6.91796875,-5.171875,-5.03515625,-6.05859375
15,-4.91796875,-5.66796875,-5.921875,-5.98046875,-5.07421875,-4.3046875
16,-4.6015625,-6.20703125,-5.73046875,-5.2265625,-5.875,-6.2421875
17,-5.6171875,-4.96484375,-6.05078125,-5.03125,-5.703125,-5.16796875
18,-5.31640625,-6.171875,-5.75390625,-6.13671875,-6.59765625,-5.5859375
19,-6.00390625,-5.92578125,-5.51171875,-6.03515625,-6.078125,-6.11328125
