,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-2.0234375,-5.5859375,-5.30859375,-4.65625,-5.0,-5.23828125
1,-2.75390625,-6.265625,-6.1171875,-6.16015625,-6.41015625,-6.57421875
2,-2.380859375,-5.640625,-5.82421875,-5.50390625,-5.2890625,-5.96875
3,-1.376953125,-5.15234375,-5.15234375,-5.47265625,-4.9453125,-6.0390625
4,-3.6953125,-8.0546875,-8.1953125,-5.81640625,-6.765625,-6.14453125
5,-4.0625,-6.78125,-7.09765625,-6.16796875,-5.96875,-6.3046875
6,-2.314453125,-5.9609375,-5.19921875,-4.6640625,-5.109375,-6.15234375
7,-1.44921875,-5.71484375,-5.76171875,-6.14453125,-5.69921875,-5.80078125
8,-1.685546875,-5.50390625,-4.5234375,-4.87109375,-4.56640625,-4.796875
9,-1.9208984375,-6.12890625,-5.98828125,-5.30859375,-5.171875,-5.609375
10,-1.1796875,-6.72265625,-5.83203125,-6.0078125,-5.46484375,-6.125
11,-2.46484375,-4.6796875,-5.06640625,-5.07421875,-5.53125,-5.3359375
12,-3.66015625,-5.48828125,-5.5078125,-6.375,-6.3125,-6.36328125
13,-2.16015625,-6.4296875,-4.8828125,-4.80078125,-5.3359375,-5.2734375
14,-1.5927734375,-6.09765625,-5.64453125,-5.5,-5.2890625,-6.12890625
15,-1.798828125,-5.828125,-5.34765625,-5.8359375,-5.41796875,-6.18359375
16,-1.58984375,-5.6015625,-5.23828125,-5.96484375,-6.30859375,-6.50390625
17,-4.45703125,-6.59375,-4.9296875,-4.9375,-4.92578125,-5.7421875
18,-1.12890625,-6.52734375,-5.3984375,-5.3359375,-5.625,-5.98046875
19,-2.564453125,-6.43359375,-5.69140625,-6.20703125,-5.83203125,-6.375
