,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-8.015625,-6.984375,-7.24609375,-6.37890625,-7.55859375,-7.52734375
1,-7.78515625,-7.5859375,-7.38671875,-7.38671875,-7.38671875,-8.078125
2,-7.76953125,-6.8828125,-5.89453125,-7.03515625,-7.1953125,-6.9765625
3,-7.5,-7.12890625,-7.2890625,-6.39453125,-6.703125,-6.96875
4,-7.66015625,-7.45703125,-6.88671875,-6.8515625,-6.9765625,-5.7265625
5,-7.73828125,-5.1875,-7.11328125,-6.54296875,-7.83984375,-6.45703125
6,-7.3828125,-7.3671875,-7.140625,-8.359375,-7.359375,-6.45703125
7,-7.1328125,-6.82421875,-6.81640625,-7.4296875,-7.73046875,-6.8359375
8,-7.33203125,-7.546875,-6.89453125,-6.24609375,-5.98046875,-6.546875
9,-7.09375,-6.8203125,-7.2421875,-6.62890625,-7.5390625,-7.109375
10,-7.26953125,-7.2109375,-7.15234375,-6.30859375,-7.2421875,-6.68359375
11,-7.0078125,-7.19140625,-6.31640625,-5.9296875,-5.94140625,-5.93359375
12,-7.60546875,-7.10546875,-6.93359375,-6.93359375,-6.90625,-6.8125
13,-7.4375,-7.11328125,-7.7890625,-8.5234375,-8.8203125,-7.41015625
14,-7.60546875,-6.9921875,-8.5625,-8.3203125,-8.796875,-7.125
15,-7.94140625,-7.1875,-5.99609375,-7.37890625,-6.96875,-7.81640625
16,-6.96875,-7.14453125,-5.88671875,-7.58984375,-7.6171875,-7.76171875
17,-7.6328125,-7.1640625,-6.55078125,-7.5703125,-6.65625,-7.66015625
18,-8.171875,-6.9453125,-6.171875,-6.359375,-6.37109375,-7.2421875
19,-8.0625,-6.80078125,-6.4609375,-6.2421875,-6.078125,-5.921875
