,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-8.5703125,-7.75390625,-6.63671875,-8.2578125,-8.046875,-7.5625
1,-12.5859375,-9.171875,-8.5625,-7.578125,-7.69140625,-6.31640625
2,-8.7109375,-7.48828125,-7.12109375,-7.6796875,-8.5546875,-6.70703125
3,-8.265625,-7.921875,-8.1171875,-6.5234375,-6.6796875,-6.8671875
4,-10.0859375,-7.86328125,-7.2578125,-5.81640625,-6.23046875,-5.890625
5,-9.3984375,-7.50390625,-7.62109375,-7.046875,-6.359375,-6.7421875
6,-8.4765625,-8.4765625,-7.64453125,-8.125,-8.0234375,-6.89453125
7,-15.3203125,-7.44140625,-6.8984375,-7.95703125,-7.06640625,-7.68359375
8,-9.5390625,-8.8515625,-7.26171875,-6.67578125,-7.671875,-6.32421875
9,-8.15625,-6.7109375,-7.21484375,-7.796875,-8.3671875,-8.078125
10,-10.09375,-8.109375,-7.75,-7.56640625,-8.25,-8.265625
11,-7.453125,-7.69140625,-7.58984375,-7.34765625,-7.8515625,-6.30859375
12,-9.453125,-8.40625,-7.84765625,-8.8828125,-8.1328125,-8.40625
13,-9.1796875,-7.49609375,-6.37890625,-7.4609375,-6.609375,-6.359375
14,-10.3671875,-7.84765625,-7.34375,-8.6171875,-7.7265625,-6.59765625
15,-8.3671875,-8.1171875,-7.21484375,-7.62109375,-7.82421875,-7.62890625
16,-8.0078125,-8.0,-8.0703125,-7.69921875,-6.27734375,-7.09765625
17,-8.984375,-8.7734375,-7.45703125,-7.12109375,-6.69921875,-7.3515625
18,-9.8125,-7.453125,-10.0078125,-7.49609375,-6.4765625,-6.546875
19,-10.1640625,-7.66796875,-7.69921875,-5.7578125,-6.25,-6.60546875
