,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-8.515625,-11.2265625,-9.59375,-10.5625,-10.375,-8.96875
1,-7.50390625,-10.8046875,-9.9765625,-10.5546875,-10.6015625,-10.3984375
2,-7.2890625,-12.3359375,-11.421875,-10.578125,-12.15625,-10.9609375
3,-5.9609375,-10.578125,-10.515625,-10.0390625,-9.3203125,-10.6875
4,-8.1171875,-10.7109375,-10.140625,-9.53125,-10.234375,-11.6484375
5,-4.8046875,-11.8984375,-10.765625,-10.96875,-10.109375,-9.96875
6,-6.44921875,-10.875,-9.953125,-10.4453125,-10.46875,-10.984375
7,-6.0078125,-10.640625,-10.46875,-10.90625,-8.5546875,-9.015625
8,-5.7734375,-10.703125,-10.40625,-10.1484375,-10.203125,-8.9296875
9,-8.1484375,-9.375,-11.2578125,-12.25,-10.125,-11.0625
10,-5.984375,-11.8046875,-11.1328125,-10.2421875,-10.7734375,-11.359375
11,-7.33984375,-10.7109375,-10.3984375,-10.421875,-9.8359375,-9.8203125
12,-4.015625,-10.5625,-9.328125,-9.5703125,-10.4375,-9.9921875
13,-4.9921875,-11.0703125,-9.703125,-9.703125,-9.4609375,-10.0625
14,-7.09375,-11.8515625,-10.1796875,-10.34375,-11.109375,-9.671875
15,-7.9140625,-11.3828125,-11.5859375,-10.2109375,-10.2890625,-10.578125
16,-3.8671875,-12.8125,-11.4140625,-11.28125,-10.609375,-11.359375
17,-5.88671875,-10.5078125,-7.9765625,-9.1640625,-8.7578125,-9.9765625
18,-6.3671875,-11.625,-10.5078125,-9.9453125,-9.203125,-9.9453125
19,-4.421875,-11.1640625,-8.6171875,-8.2421875,-8.859375,-9.7421875
