,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-3.259765625,-9.0078125,-8.5859375,-9.53125,-10.390625,-10.96875
1,-3.697265625,-9.6015625,-9.65625,-8.75,-7.62109375,-9.3671875
2,-4.0390625,-9.8515625,-8.8359375,-10.8203125,-12.1875,-12.1171875
3,-4.28125,-9.8046875,-9.5,-10.765625,-9.1640625,-10.1171875
4,-4.609375,-9.4765625,-9.3046875,-10.5859375,-10.6171875,-9.90625
5,-3.578125,-8.4921875,-11.3828125,-10.7265625,-9.203125,-10.4609375
6,-4.4140625,-11.7109375,-10.9140625,-8.3359375,-9.0234375,-7.91796875
7,-3.8125,-8.7578125,-8.3984375,-8.3984375,-8.3984375,-9.8671875
8,-4.1328125,-9.40625,-10.7421875,-8.65625,-10.7890625,-10.078125
9,-3.630859375,-10.0234375,-10.15625,-11.2109375,-11.6640625,-11.7890625
10,-4.7890625,-10.25,-10.1640625,-11.8046875,-10.40625,-11.9140625
11,-3.0859375,-8.890625,-8.375,-8.09375,-8.703125,-8.859375
12,-5.07421875,-10.140625,-8.46875,-9.5390625,-9.671875,-10.4609375
13,-3.69921875,-9.7890625,-9.1640625,-9.0234375,-9.484375,-9.25
14,-5.015625,-10.6171875,-11.0859375,-10.109375,-11.1875,-10.578125
15,-4.2734375,-9.703125,-10.859375,-10.03125,-9.453125,-10.6640625
16,-4.15625,-10.8359375,-11.921875,-10.1328125,-9.4765625,-9.8984375
17,-3.990234375,-9.4609375,-8.4453125,-7.76953125,-7.69140625,-8.234375
18,-4.15234375,-8.6171875,-8.8203125,-8.7578125,-8.8046875,-10.734375
19,-4.8828125,-9.5703125,-8.1796875,-7.98828125,-7.98828125,-10.6171875
