,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-9.5546875,-21.4375,-18.859375,-18.828125,-18.1875,-18.15625
1,-9.3125,-19.3125,-18.859375,-18.078125,-22.09375,-18.921875
2,-11.03125,-21.265625,-20.953125,-19.953125,-19.5625,-19.890625
3,-11.234375,-22.078125,-22.40625,-21.796875,-20.96875,-21.53125
4,-10.8671875,-21.078125,-20.96875,-20.8125,-23.5,-20.328125
5,-8.2890625,-17.9375,-16.6875,-17.296875,-19.515625,-18.671875
6,-8.4921875,-17.1875,-17.109375,-17.109375,-17.75,-18.109375
7,-9.5703125,-19.84375,-19.4375,-18.21875,-19.6875,-19.15625
8,-10.5390625,-21.796875,-22.515625,-20.578125,-22.328125,-19.3125
9,-13.0703125,-20.15625,-19.5625,-16.765625,-19.0,-19.484375
10,-10.2265625,-21.328125,-21.9375,-19.671875,-18.859375,-19.6875
11,-10.109375,-21.3125,-23.171875,-21.921875,-22.53125,-20.375
12,-11.3046875,-20.140625,-21.65625,-21.609375,-21.84375,-20.234375
13,-11.9375,-22.359375,-21.0625,-20.625,-20.515625,-17.46875
14,-8.7109375,-19.21875,-18.390625,-17.625,-17.78125,-17.34375
15,-8.7890625,-18.953125,-19.296875,-18.296875,-19.078125,-17.890625
16,-7.78125,-18.0625,-17.953125,-16.734375,-17.203125,-18.9375
17,-9.03125,-20.65625,-22.03125,-22.0,-21.15625,-19.53125
18,-10.4296875,-21.953125,-21.5625,-22.53125,-22.421875,-21.15625
19,-10.359375,-20.578125,-19.71875,-20.46875,-20.234375,-20.9375
