,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-7.4140625,-18.5,-19.546875,-19.6875,-18.859375,-19.1875
1,-7.78515625,-18.5625,-17.484375,-19.453125,-19.25,-18.796875
2,-8.2734375,-19.078125,-19.4375,-19.921875,-16.890625,-19.859375
3,-8.0390625,-18.328125,-19.53125,-17.40625,-16.65625,-19.890625
4,-8.515625,-19.140625,-18.9375,-17.59375,-16.78125,-17.859375
5,-9.359375,-17.578125,-16.828125,-19.203125,-16.34375,-18.984375
6,-8.7734375,-19.203125,-19.0625,-21.59375,-22.140625,-23.609375
7,-7.8359375,-17.8125,-15.265625,-15.0390625,-14.9609375,-18.484375
8,-8.234375,-17.34375,-19.3125,-22.15625,-21.84375,-19.703125
9,-8.015625,-17.71875,-19.46875,-17.546875,-20.5625,-18.984375
10,-7.875,-17.0625,-16.515625,-18.609375,-18.4375,-20.046875
11,-8.1015625,-18.71875,-20.5625,-18.375,-19.21875,-18.03125
12,-8.34375,-18.828125,-17.484375,-16.59375,-19.75,-18.671875
13,-7.73046875,-14.359375,-14.8046875,-15.046875,-14.9375,-19.34375
14,-7.66796875,-17.65625,-20.921875,-21.0625,-21.046875,-20.09375
15,-7.75,-17.765625,-19.453125,-21.515625,-19.765625,-20.578125
16,-8.4375,-16.921875,-18.40625,-18.46875,-21.515625,-21.375
17,-7.8203125,-18.359375,-18.828125,-18.40625,-18.265625,-21.625
18,-8.71875,-18.28125,-17.203125,-18.453125,-16.71875,-17.765625
19,-8.5703125,-17.1875,-17.09375,-15.953125,-15.9296875,-15.78125
