,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-7.46875,-11.2421875,-11.96875,-11.3125,-12.3359375,-12.1328125
1,-7.98828125,-10.0,-10.5,-9.40625,-10.4453125,-11.7734375
2,-9.1328125,-13.4140625,-12.0078125,-10.171875,-10.8203125,-10.671875
3,-7.51171875,-12.6484375,-13.2421875,-12.8203125,-13.6484375,-12.25
4,-8.6171875,-13.5,-11.8203125,-12.8203125,-10.625,-12.4296875
5,-6.8359375,-9.53125,-9.703125,-8.875,-8.9140625,-10.734375
6,-9.7578125,-11.8046875,-13.3046875,-13.4140625,-13.296875,-13.203125
7,-7.28125,-10.84375,-10.1953125,-10.9140625,-9.8359375,-9.703125
8,-8.4453125,-11.265625,-9.90625,-10.9296875,-9.0546875,-11.7421875
9,-8.84375,-13.65625,-12.796875,-11.1328125,-14.5859375,-13.3125
10,-8.5703125,-13.0859375,-12.0390625,-10.9296875,-11.4140625,-10.4296875
11,-9.0234375,-13.03125,-11.375,-11.203125,-11.28125,-10.578125
12,-13.2421875,-12.765625,-13.6328125,-12.4765625,-13.046875,-13.6015625
13,-8.4453125,-12.96875,-13.9375,-11.5078125,-14.5,-14.5234375
14,-7.40234375,-12.9609375,-11.40625,-11.96875,-11.3203125,-10.8203125
15,-12.328125,-13.3671875,-12.453125,-13.234375,-15.234375,-13.453125
16,-7.96875,-13.90625,-13.1875,-11.75,-13.28125,-13.453125
17,-7.48828125,-12.109375,-12.109375,-11.8046875,-14.078125,-14.7421875
18,-7.12890625,-8.84375,-10.2265625,-9.28125,-9.6796875,-10.6328125
19,-7.36328125,-11.828125,-12.4921875,-14.390625,-12.5546875,-11.296875
