,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-8.90625,-10.109375,-11.1484375,-10.53125,-11.921875,-11.1796875
1,-9.0703125,-10.4140625,-9.3984375,-9.3359375,-9.3359375,-11.328125
2,-9.1953125,-10.3984375,-9.7109375,-11.21875,-11.671875,-10.2109375
3,-9.84375,-12.421875,-12.3359375,-12.53125,-12.46875,-13.921875
4,-10.1171875,-9.875,-9.71875,-9.2890625,-10.203125,-10.0390625
5,-9.4296875,-10.1796875,-8.8671875,-9.1328125,-9.28125,-9.0703125
6,-10.015625,-10.6171875,-12.6640625,-11.2265625,-10.484375,-13.8515625
7,-9.5546875,-13.5390625,-11.9453125,-11.53125,-12.1953125,-10.4609375
8,-8.921875,-10.1796875,-8.8359375,-9.03125,-8.9375,-10.9296875
9,-9.1640625,-9.5390625,-9.03125,-9.0390625,-9.09375,-11.1953125
10,-9.609375,-11.3515625,-9.7578125,-9.40625,-8.671875,-8.6875
11,-8.8671875,-9.96875,-10.859375,-10.9375,-9.5078125,-11.0
12,-9.6796875,-11.7890625,-10.8203125,-12.6796875,-14.6875,-14.1484375
13,-9.171875,-12.1484375,-11.6171875,-11.421875,-10.7578125,-10.6796875
14,-9.9296875,-12.5859375,-11.4140625,-13.8984375,-11.3203125,-12.0234375
15,-9.8671875,-10.875,-11.0703125,-10.0546875,-9.359375,-11.1484375
16,-9.6640625,-12.1640625,-13.1796875,-12.609375,-12.1796875,-14.703125
17,-8.65625,-10.484375,-9.6640625,-11.640625,-11.4453125,-11.9453125
18,-8.8671875,-10.578125,-9.71875,-8.9296875,-8.5078125,-9.2265625
19,-8.9296875,-10.6796875,-8.6953125,-9.6640625,-10.75,-12.1015625
