,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-6.66796875,-13.03125,-15.25,-15.3828125,-13.5234375,-13.6875
1,-6.77734375,-14.8046875,-13.5390625,-12.109375,-13.4453125,-15.3828125
2,-5.578125,-14.1171875,-14.71875,-13.7578125,-14.8671875,-17.859375
3,-6.609375,-15.453125,-13.546875,-11.78125,-11.265625,-13.265625
4,-7.21875,-15.625,-17.765625,-15.609375,-12.578125,-16.3125
5,-6.65625,-13.53125,-14.2734375,-12.9375,-12.9375,-16.984375
6,-6.9609375,-15.21875,-13.296875,-14.1015625,-14.7421875,-15.390625
7,-8.4453125,-13.859375,-14.140625,-16.34375,-15.90625,-15.3671875
8,-6.40625,-14.4921875,-13.515625,-13.015625,-12.6953125,-14.9921875
9,-6.7265625,-13.84375,-15.0546875,-14.125,-13.0546875,-16.421875
10,-6.22265625,-13.625,-14.859375,-14.078125,-14.6328125,-17.078125
11,-6.9765625,-12.9765625,-13.7109375,-15.359375,-13.3828125,-15.2890625
12,-8.015625,-13.640625,-12.9609375,-14.7890625,-14.3828125,-16.09375
13,-5.75390625,-13.7890625,-12.6484375,-12.5546875,-12.8984375,-12.8515625
14,-6.80859375,-14.046875,-13.8359375,-14.171875,-15.6015625,-15.1171875
15,-6.96484375,-12.859375,-15.484375,-15.078125,-15.4375,-16.015625
16,-5.67578125,-14.203125,-13.75,-12.6640625,-12.6640625,-16.0
17,-8.7890625,-12.875,-9.828125,-10.0,-12.6015625,-14.4296875
18,-6.015625,-13.53125,-12.5625,-13.2578125,-13.234375,-15.40625
19,-7.52734375,-14.9296875,-15.828125,-15.65625,-16.09375,-15.8359375
