,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-11.390625,-11.0234375,-11.3046875,-10.71875,-10.9609375,-10.5390625
1,-9.2890625,-10.96875,-10.6484375,-10.0390625,-10.796875,-10.0703125
2,-11.1171875,-10.828125,-10.59375,-10.6171875,-9.703125,-9.9375
3,-8.984375,-9.5859375,-8.75,-7.91015625,-7.94140625,-8.7578125
4,-11.7578125,-10.1953125,-9.6484375,-8.5703125,-8.984375,-8.5859375
5,-9.328125,-11.15625,-10.34375,-10.71875,-9.6484375,-9.4453125
6,-10.3515625,-9.7421875,-8.6171875,-8.984375,-8.5703125,-8.4921875
7,-10.0703125,-10.4375,-9.28125,-9.71875,-8.9453125,-9.515625
8,-10.609375,-10.3046875,-10.015625,-10.7265625,-10.640625,-10.515625
9,-9.640625,-10.0078125,-9.734375,-9.546875,-8.9375,-9.8828125
10,-9.796875,-10.734375,-9.546875,-10.546875,-9.9921875,-9.9140625
11,-9.0625,-9.7421875,-10.375,-9.8359375,-10.1015625,-10.8984375
12,-12.234375,-9.8828125,-9.203125,-9.28125,-9.2421875,-9.6875
13,-12.0546875,-10.4375,-10.5078125,-9.7734375,-10.796875,-10.21875
14,-11.5546875,-10.7421875,-9.75,-9.8046875,-9.5546875,-10.0
15,-9.7265625,-10.15625,-9.125,-9.2109375,-9.015625,-9.703125
16,-11.0546875,-10.3515625,-8.8671875,-8.6328125,-9.6640625,-9.28125
17,-11.6796875,-10.5078125,-9.1796875,-9.1640625,-9.1953125,-9.5703125
18,-8.6796875,-9.7890625,-9.0234375,-10.2890625,-9.078125,-8.6640625
19,-9.484375,-9.75,-9.46875,-9.5,-9.640625,-9.546875
