,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.8203125,-8.6640625,-8.1328125,-7.8984375,-7.69140625,-8.8515625
1,-7.6640625,-9.1953125,-8.2578125,-9.0078125,-10.078125,-10.0234375
2,-7.97265625,-9.6875,-10.578125,-7.82421875,-9.2109375,-9.9296875
3,-7.75,-8.875,-8.2734375,-8.2734375,-8.2734375,-9.3671875
4,-9.140625,-9.5546875,-8.3984375,-8.0234375,-7.359375,-8.0234375
5,-8.3984375,-8.96875,-8.671875,-8.796875,-9.9609375,-10.1640625
6,-9.609375,-9.1328125,-8.5390625,-8.8125,-8.9765625,-10.5859375
7,-8.2734375,-8.8125,-8.984375,-8.515625,-9.578125,-9.8671875
8,-7.921875,-8.7734375,-8.84375,-8.7109375,-9.3828125,-10.140625
9,-8.0390625,-9.0703125,-9.84375,-9.8203125,-9.4140625,-12.078125
10,-8.171875,-9.515625,-9.2109375,-8.4609375,-8.453125,-8.9375
11,-7.8046875,-9.109375,-8.4453125,-9.609375,-9.0703125,-9.9140625
12,-8.2578125,-9.03125,-8.171875,-8.109375,-8.109375,-9.6484375
13,-7.64453125,-8.59375,-7.85546875,-7.95703125,-7.95703125,-9.375
14,-8.6796875,-8.921875,-8.984375,-8.359375,-8.4609375,-9.421875
15,-8.9609375,-9.3984375,-7.87109375,-7.27734375,-6.5546875,-7.20703125
16,-7.921875,-9.2421875,-9.65625,-8.765625,-9.1328125,-9.15625
17,-7.671875,-9.3671875,-9.21875,-8.703125,-10.0,-9.1171875
18,-9.28125,-9.4765625,-8.8984375,-9.4296875,-9.1796875,-9.7109375
19,-8.984375,-8.890625,-9.203125,-8.8671875,-8.5625,-8.234375
