,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-3.62109375,-8.0703125,-7.51953125,-7.3984375,-8.046875,-7.546875
1,-3.5859375,-8.5625,-8.203125,-6.4375,-6.9296875,-8.40625
2,-4.05078125,-8.7265625,-6.7578125,-6.7265625,-6.5078125,-8.6484375
3,-3.509765625,-9.34375,-7.65625,-7.95703125,-8.0,-8.859375
4,-2.890625,-7.8515625,-8.25,-8.9921875,-9.2421875,-9.6328125
5,-2.841796875,-8.2734375,-9.03125,-8.109375,-8.5703125,-7.3671875
6,-4.58984375,-9.109375,-8.03125,-8.125,-7.515625,-8.0
7,-2.75390625,-7.81640625,-7.24609375,-8.015625,-7.5390625,-9.15625
8,-4.02734375,-8.90625,-8.671875,-8.5,-8.828125,-9.5234375
9,-3.744140625,-9.4765625,-10.34375,-10.1875,-8.96875,-10.25
10,-3.66796875,-8.6640625,-8.421875,-6.546875,-7.42578125,-8.7734375
11,-3.244140625,-8.125,-6.9140625,-8.484375,-8.03125,-9.609375
12,-5.34375,-9.515625,-8.1484375,-8.796875,-7.80078125,-8.25
13,-2.998046875,-7.78515625,-7.75390625,-7.1875,-7.25390625,-9.3046875
14,-4.796875,-9.671875,-7.66015625,-7.48828125,-7.41015625,-7.8515625
15,-3.888671875,-8.96875,-9.4140625,-9.109375,-9.6953125,-9.9375
16,-6.5703125,-9.0,-8.2734375,-8.0390625,-9.3828125,-11.03125
17,-8.8828125,-7.4296875,-7.890625,-7.4453125,-6.8125,-6.87890625
18,-3.56640625,-7.23828125,-6.40234375,-6.3671875,-7.1171875,-8.296875
19,-4.890625,-11.359375,-9.8515625,-10.0234375,-9.6640625,-9.6796875
