,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-3.095703125,-7.8828125,-6.30078125,-5.796875,-5.8125,-8.2265625
1,-2.970703125,-7.55859375,-7.3046875,-6.9453125,-7.76171875,-7.65625
2,-2.921875,-7.44921875,-7.60546875,-7.671875,-7.9765625,-9.1015625
3,-2.7890625,-5.86328125,-6.578125,-6.11328125,-6.4453125,-7.625
4,-3.2890625,-6.91015625,-7.63671875,-8.171875,-7.51953125,-9.96875
5,-2.576171875,-7.98046875,-6.75390625,-7.3046875,-7.7421875,-9.203125
6,-2.779296875,-7.51953125,-6.27734375,-7.4765625,-5.7421875,-8.546875
7,-2.521484375,-6.9765625,-6.625,-6.2109375,-5.94140625,-5.85546875
8,-3.50390625,-6.8984375,-6.890625,-7.359375,-6.9453125,-6.8828125
9,-4.2578125,-4.95703125,-6.25390625,-6.4140625,-7.21875,-6.1484375
10,-3.404296875,-7.7265625,-7.26171875,-8.0703125,-8.6171875,-9.5234375
11,-3.16796875,-6.91015625,-6.75390625,-6.25,-6.23046875,-9.3515625
12,-3.75,-7.3671875,-7.01171875,-6.140625,-6.296875,-8.1796875
13,-2.59765625,-7.98828125,-7.73828125,-7.765625,-6.72265625,-7.0625
14,-2.1875,-5.29296875,-6.08203125,-6.7109375,-7.6328125,-7.91015625
15,-2.443359375,-6.2265625,-7.71875,-8.546875,-6.96875,-6.05859375
16,-2.861328125,-9.078125,-8.578125,-5.85546875,-4.6328125,-7.29296875
17,-2.666015625,-5.98046875,-6.96875,-6.328125,-6.453125,-8.2578125
18,-2.83984375,-6.55859375,-5.76953125,-6.88671875,-7.95703125,-9.4765625
19,-2.802734375,-6.87109375,-6.01171875,-8.8359375,-7.9609375,-8.6640625
