,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-3.6328125,-6.7734375,-7.421875,-7.4609375,-7.93359375,-7.5703125
1,-4.63671875,-6.55859375,-6.9921875,-6.703125,-7.31640625,-7.640625
2,-6.41796875,-7.87890625,-8.28125,-6.984375,-7.25390625,-6.4765625
3,-4.31640625,-7.453125,-7.30859375,-8.109375,-8.015625,-6.546875
4,-5.7109375,-7.2890625,-7.2890625,-8.359375,-7.10546875,-7.0625
5,-3.990234375,-5.98046875,-6.59765625,-6.52734375,-6.3125,-6.7578125
6,-7.90234375,-7.7421875,-8.71875,-7.8984375,-7.8828125,-7.55859375
7,-3.609375,-7.39453125,-6.88671875,-7.1640625,-6.3046875,-6.2421875
8,-5.21484375,-6.1328125,-6.76171875,-7.54296875,-6.5234375,-7.98046875
9,-7.15625,-8.453125,-7.70703125,-7.12890625,-8.765625,-7.64453125
10,-5.16796875,-7.72265625,-7.8046875,-7.2890625,-7.94140625,-6.30078125
11,-6.35546875,-6.96484375,-7.3984375,-7.7421875,-7.6328125,-6.44921875
12,-13.3203125,-7.5703125,-7.90234375,-8.5,-9.109375,-9.3203125
13,-6.72265625,-7.9921875,-8.40625,-7.875,-9.4375,-9.4609375
14,-3.12109375,-7.4140625,-7.4921875,-8.25,-7.6796875,-6.73046875
15,-7.78125,-8.3203125,-7.55078125,-8.609375,-10.28125,-8.6328125
16,-4.234375,-8.5703125,-7.765625,-7.5078125,-8.046875,-7.8125
17,-3.369140625,-7.54296875,-8.7109375,-9.0625,-9.7421875,-10.28125
18,-3.119140625,-5.97265625,-6.05859375,-6.0546875,-6.47265625,-6.55078125
19,-4.44140625,-6.57421875,-6.5625,-8.375,-8.390625,-6.22265625
