,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-6.5625,-6.71875,-6.66015625,-5.99609375,-5.8359375,-7.44921875
1,-5.54296875,-6.79296875,-7.01171875,-6.9296875,-6.9296875,-8.9765625
2,-6.25390625,-6.34375,-7.28515625,-6.69140625,-7.5078125,-4.921875
3,-7.26171875,-6.65625,-7.25,-8.234375,-6.0859375,-7.17578125
4,-6.32421875,-6.01953125,-5.37890625,-5.28515625,-5.44140625,-5.05078125
5,-5.70703125,-6.7890625,-7.09765625,-6.01171875,-7.1484375,-6.78515625
6,-5.3984375,-8.234375,-8.34375,-8.25,-8.796875,-7.953125
7,-6.35546875,-6.45703125,-6.2265625,-6.62109375,-6.6171875,-5.91796875
8,-5.98046875,-6.203125,-7.63671875,-7.83984375,-7.40625,-8.1484375
9,-6.984375,-9.015625,-9.859375,-10.21875,-8.3046875,-6.75390625
10,-6.17578125,-5.55859375,-7.64453125,-6.58203125,-6.5390625,-7.8828125
11,-6.37890625,-7.7109375,-8.5078125,-10.0390625,-9.40625,-7.5625
12,-7.6875,-7.28515625,-7.52734375,-7.29296875,-7.9609375,-7.828125
13,-4.953125,-7.18359375,-5.8671875,-6.23046875,-6.125,-7.6953125
14,-6.10546875,-6.4609375,-6.328125,-7.71484375,-9.234375,-8.1484375
15,-5.67578125,-6.15234375,-7.3203125,-6.48828125,-8.1484375,-8.8515625
16,-7.25390625,-6.15625,-7.3671875,-8.890625,-9.546875,-9.7265625
17,-6.81640625,-7.78515625,-6.73828125,-7.06640625,-8.4453125,-8.765625
18,-5.97265625,-7.41796875,-6.9453125,-8.453125,-6.84375,-7.4375
19,-6.8828125,-6.265625,-7.13671875,-7.89453125,-6.91015625,-8.0
