,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-8.96875,-6.234375,-4.609375,-9.0234375,-10.640625,-7.7421875,-6.609375,-8.5390625,-10.640625,-8.1796875,-7.1015625,-5.6328125,-6.6328125,-14.1015625,-18.390625,-5.859375,-9.765625,-10.4609375,-10.421875,-8.4609375,-5.65234375,-5.58984375,-6.97265625,-13.34375,-18.84375,-6.64453125,-9.671875,-10.828125,-11.3046875,-8.6171875,-6.90625,-6.2421875,-8.046875,-14.8359375,-20.96875,-7.78125,-10.9609375,-11.6328125,-12.4296875,-8.9296875,-8.0078125,-8.3125,-10.140625,-16.75,-22.828125,-9.578125,-12.265625,-12.125,-15.0234375,-9.9921875,-7.42578125,-7.99609375,-10.2421875,-16.25,-21.9375,-8.734375,-11.4375,-13.15625,-13.9296875,-10.4609375
1,-9.515625,-6.3046875,-4.9296875,-9.75,-11.265625,-7.9765625,-6.6484375,-8.4453125,-10.75,-7.890625,-6.96484375,-5.57421875,-7.32421875,-14.6484375,-18.515625,-6.51171875,-9.84375,-11.5859375,-10.921875,-8.8984375,-7.38671875,-5.62890625,-7.31640625,-14.890625,-18.515625,-6.77734375,-9.7578125,-11.0390625,-10.40625,-8.59375,-7.30078125,-5.69921875,-7.78515625,-15.4609375,-19.0625,-7.38671875,-9.8828125,-11.3515625,-10.734375,-9.1015625,-7.05859375,-5.03515625,-7.12890625,-14.5859375,-18.125,-6.79296875,-9.140625,-10.421875,-9.765625,-8.4921875,-7.1953125,-5.796875,-7.375,-15.1015625,-17.640625,-6.59375,-9.953125,-12.515625,-9.4921875,-9.7421875
2,-9.5,-6.7265625,-5.8359375,-9.1875,-11.1796875,-8.3125,-6.3046875,-8.1328125,-11.4140625,-8.0078125,-7.03515625,-6.26953125,-8.1484375,-15.234375,-19.9375,-7.37109375,-9.828125,-12.7734375,-12.59375,-9.8125,-6.1484375,-5.3515625,-6.875,-13.4453125,-17.296875,-6.640625,-8.609375,-11.140625,-11.0390625,-9.5078125,-7.84375,-6.625,-8.1875,-16.28125,-19.484375,-7.6640625,-10.53125,-12.2265625,-12.0546875,-9.8125,-6.98828125,-6.02734375,-7.33984375,-14.3203125,-18.625,-7.33203125,-9.6796875,-12.1015625,-11.3125,-9.75,-7.77734375,-6.64453125,-9.203125,-16.90625,-20.734375,-8.046875,-11.1953125,-13.9765625,-12.875,-10.546875
3,-9.59375,-7.2265625,-5.65625,-8.8125,-10.8046875,-8.3359375,-6.15625,-8.6953125,-10.5546875,-7.984375,-6.62890625,-4.84765625,-6.51171875,-13.796875,-16.53125,-5.95703125,-8.96875,-11.359375,-9.796875,-8.8125,-6.69921875,-4.69140625,-6.30078125,-13.3046875,-15.8203125,-6.29296875,-8.484375,-10.71875,-9.1328125,-8.2890625,-6.68359375,-4.65234375,-6.32421875,-13.28125,-15.796875,-6.30859375,-8.4375,-10.6953125,-9.15625,-8.296875,-6.68359375,-4.65234375,-6.32421875,-13.28125,-15.796875,-6.30859375,-8.4375,-10.6953125,-9.15625,-8.296875,-7.94921875,-6.07421875,-8.6953125,-16.59375,-19.15625,-7.22265625,-10.7421875,-12.703125,-11.5078125,-9.546875
4,-10.140625,-7.75390625,-5.90234375,-9.6875,-12.1015625,-9.3359375,-7.53515625,-8.9609375,-11.9609375,-8.890625,-7.10546875,-5.80078125,-8.09375,-15.2578125,-18.859375,-6.92578125,-10.515625,-12.1171875,-11.7265625,-9.5546875,-6.74609375,-4.76171875,-7.05859375,-13.8828125,-17.296875,-6.32421875,-8.96875,-10.328125,-10.0546875,-8.5,-5.33203125,-4.31640625,-6.03515625,-12.90625,-15.375,-5.63671875,-8.2109375,-9.6640625,-8.2109375,-8.078125,-5.66796875,-4.23828125,-5.78515625,-12.375,-15.203125,-5.78515625,-7.96484375,-9.640625,-7.95703125,-7.69921875,-6.28125,-4.9375,-7.4296875,-14.40625,-17.09375,-6.390625,-9.2421875,-10.984375,-9.796875,-8.65625
5,-9.34375,-6.421875,-4.2265625,-9.375,-10.5,-7.6328125,-6.2109375,-8.65625,-9.9375,-8.25,-7.19140625,-5.05078125,-6.61328125,-14.78125,-18.015625,-5.90234375,-9.4765625,-11.828125,-9.84375,-8.71875,-5.75390625,-4.19921875,-6.45703125,-13.0078125,-15.9140625,-6.15234375,-8.65625,-9.6796875,-8.546875,-7.87890625,-5.8515625,-4.3046875,-6.5859375,-13.3359375,-16.4375,-6.265625,-8.6640625,-9.6328125,-8.96875,-7.953125,-6.078125,-4.5,-6.4296875,-13.6328125,-16.515625,-6.296875,-8.65625,-10.390625,-9.015625,-8.234375,-6.9375,-5.5546875,-8.09375,-15.6875,-18.390625,-6.984375,-10.3203125,-11.8671875,-10.875,-9.0859375
6,-8.890625,-6.26953125,-4.96484375,-9.1171875,-10.515625,-7.26171875,-6.24609375,-8.6796875,-10.4453125,-7.828125,-8.0234375,-6.02734375,-7.41796875,-15.84375,-18.921875,-7.04296875,-9.71875,-12.546875,-11.0234375,-8.9140625,-5.83984375,-4.51171875,-6.49609375,-13.1875,-16.34375,-6.22265625,-8.671875,-9.75,-9.34375,-8.125,-6.8515625,-5.0546875,-6.390625,-14.2421875,-17.5,-6.6328125,-9.109375,-10.9921875,-9.609375,-8.953125,-5.859375,-4.6171875,-6.484375,-13.484375,-16.984375,-6.875,-8.53125,-10.2890625,-9.7109375,-8.7109375,-6.52734375,-5.19140625,-8.109375,-15.328125,-18.328125,-7.52734375,-9.234375,-11.578125,-10.5234375,-9.1640625
7,-11.4296875,-7.83203125,-6.78515625,-11.0859375,-12.8359375,-10.1796875,-8.09375,-9.7109375,-13.25,-9.71875,-6.87109375,-5.58203125,-7.27734375,-15.078125,-17.078125,-6.36328125,-9.4296875,-11.3046875,-10.3046875,-9.09375,-6.26171875,-4.55078125,-6.49609375,-13.1875,-15.921875,-6.18359375,-8.7109375,-9.96875,-9.1328125,-8.1015625,-6.26171875,-4.55078125,-6.49609375,-13.1875,-15.921875,-6.18359375,-8.7109375,-9.96875,-9.1328125,-8.1015625,-6.26171875,-4.55078125,-6.49609375,-13.1875,-15.921875,-6.18359375,-8.7109375,-9.96875,-9.1328125,-8.1015625,-7.2578125,-6.0859375,-8.8359375,-16.015625,-18.578125,-7.3984375,-10.3359375,-11.9296875,-11.53125,-9.6171875
8,-8.421875,-5.89453125,-4.41015625,-8.546875,-10.546875,-7.26171875,-5.95703125,-8.0546875,-10.390625,-7.83203125,-7.94921875,-6.19140625,-7.64453125,-14.6328125,-18.5,-6.89453125,-9.6328125,-11.6875,-11.0859375,-8.734375,-6.78125,-5.390625,-7.3671875,-14.7578125,-17.96875,-6.734375,-8.96875,-9.46875,-10.34375,-7.78515625,-6.62890625,-5.96484375,-8.4453125,-15.421875,-19.96875,-8.53125,-9.2890625,-10.078125,-11.6640625,-8.5,-7.37109375,-4.41796875,-6.44921875,-14.3203125,-18.8125,-7.63671875,-9.0625,-10.9765625,-10.2421875,-9.109375,-6.796875,-5.5234375,-7.65625,-15.0859375,-18.203125,-6.6796875,-9.6171875,-11.8203125,-10.7109375,-9.3359375
9,-9.3984375,-6.71484375,-5.55859375,-9.921875,-10.609375,-8.2578125,-6.83984375,-8.4296875,-11.140625,-8.8828125,-8.2109375,-5.3671875,-5.3671875,-11.78125,-15.375,-8.2109375,-7.9140625,-11.1796875,-10.9296875,-9.1796875,-7.1953125,-5.6171875,-7.546875,-14.625,-19.34375,-6.59375,-10.375,-10.5234375,-11.2890625,-8.375,-6.7265625,-5.53125,-7.28125,-14.09375,-18.21875,-6.484375,-9.6640625,-9.515625,-10.0078125,-8.25,-6.64453125,-5.68359375,-7.20703125,-14.15625,-18.328125,-6.52734375,-10.171875,-10.140625,-9.9375,-8.3046875,-6.3984375,-5.5,-6.84375,-13.71875,-17.125,-6.1171875,-9.4765625,-10.671875,-9.4375,-8.3828125
