,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-10.046875,-7.0,-5.2734375,-11.5390625,-12.8984375,-7.7734375,-8.5546875,-10.7109375,-9.4609375,-9.546875,-8.15625,-7.2578125,-9.453125,-17.109375,-21.109375,-8.484375,-11.1796875,-13.15625,-13.453125,-10.4375,-8.0546875,-6.19140625,-8.484375,-16.1875,-20.46875,-8.2421875,-10.6328125,-11.5234375,-12.2109375,-9.5546875,-7.97265625,-6.40234375,-9.1328125,-16.8125,-20.765625,-8.6015625,-10.625,-11.6875,-12.71875,-9.5078125,-8.375,-6.6328125,-9.578125,-16.59375,-20.9375,-9.015625,-10.5078125,-12.1171875,-13.1328125,-9.5703125,-8.3359375,-6.98046875,-10.484375,-17.25,-20.046875,-8.875,-10.96875,-12.546875,-12.609375,-10.625
1,-12.8046875,-7.9296875,-5.7421875,-15.84375,-15.484375,-9.0,-13.0625,-12.578125,-11.8359375,-11.7265625,-8.5390625,-7.55078125,-9.71875,-18.6875,-22.484375,-8.921875,-12.328125,-13.9765625,-15.1328125,-10.9296875,-6.4375,-5.7890625,-7.5859375,-17.5,-21.390625,-7.0390625,-11.3125,-13.125,-12.84375,-9.921875,-7.3984375,-7.6796875,-9.671875,-17.03125,-22.796875,-8.9765625,-12.0625,-13.9453125,-15.109375,-10.21875,-8.1875,-5.140625,-6.2421875,-12.25,-17.078125,-7.7578125,-9.140625,-11.1796875,-7.578125,-9.59375,-6.09375,-5.5546875,-6.1875,-12.6796875,-15.2734375,-7.1015625,-9.0859375,-9.640625,-8.484375,-8.9375
2,-9.2265625,-6.16015625,-4.51953125,-9.8984375,-11.8671875,-6.88671875,-7.68359375,-10.1875,-10.109375,-9.671875,-7.91796875,-6.85546875,-9.8515625,-16.90625,-20.921875,-8.0390625,-11.3359375,-12.6875,-13.5,-10.3125,-7.375,-5.171875,-7.1484375,-15.25,-17.015625,-6.15625,-9.125,-10.8046875,-10.1171875,-9.0625,-7.6640625,-5.484375,-8.0234375,-15.8359375,-18.671875,-7.2421875,-10.1484375,-11.2265625,-11.2421875,-9.46875,-7.921875,-5.765625,-7.5078125,-15.25,-18.5625,-6.9375,-10.015625,-11.34375,-10.8671875,-9.390625,-8.078125,-6.78515625,-9.484375,-16.9375,-19.25,-7.41796875,-11.078125,-12.4375,-12.390625,-10.671875
3,-10.8203125,-6.0390625,-5.8984375,-9.140625,-14.96875,-7.9609375,-8.484375,-12.9609375,-11.6796875,-11.421875,-7.32421875,-6.23046875,-9.3046875,-16.140625,-21.9375,-8.6953125,-11.71875,-13.234375,-13.6640625,-10.28125,-8.0625,-8.0546875,-10.515625,-17.1875,-23.859375,-9.3828125,-12.90625,-13.5390625,-15.4765625,-10.796875,-8.140625,-7.921875,-11.203125,-18.015625,-23.109375,-9.953125,-12.296875,-12.9765625,-14.7890625,-10.2578125,-7.5,-7.1953125,-9.171875,-17.03125,-22.25,-8.84375,-11.9453125,-12.859375,-14.0859375,-9.6328125,-8.1015625,-8.0625,-9.296875,-17.421875,-21.515625,-9.0625,-11.4296875,-13.3984375,-13.765625,-9.875
4,-10.65625,-6.46875,-4.2734375,-11.3671875,-12.6640625,-7.390625,-9.3359375,-9.1015625,-10.1953125,-9.7109375,-7.40625,-5.8046875,-7.9609375,-14.9921875,-19.234375,-7.1484375,-10.1640625,-11.875,-11.1796875,-9.4609375,-6.3671875,-4.5625,-6.2734375,-14.9375,-17.921875,-6.203125,-8.890625,-10.359375,-9.1953125,-8.328125,-6.1796875,-4.484375,-6.21875,-14.03125,-17.46875,-6.1796875,-8.5625,-9.109375,-9.265625,-8.078125,-6.16796875,-4.30859375,-6.08984375,-13.7265625,-17.046875,-5.91796875,-8.6015625,-9.5859375,-8.9921875,-8.1171875,-5.4765625,-4.234375,-6.765625,-13.4296875,-15.8515625,-5.296875,-8.40625,-9.265625,-9.109375,-7.81640625
5,-11.25,-7.66015625,-5.91015625,-12.5703125,-13.9765625,-8.640625,-9.3359375,-12.0390625,-11.34375,-10.921875,-7.859375,-6.328125,-8.84375,-15.7734375,-18.578125,-7.3046875,-10.625,-12.125,-11.2578125,-10.1875,-6.25,-6.15625,-8.53125,-15.5859375,-19.828125,-7.875,-10.515625,-10.2109375,-11.5859375,-8.59375,-6.9921875,-6.2265625,-9.1484375,-16.34375,-20.96875,-8.5625,-11.0390625,-11.3125,-12.71875,-9.34375,-7.1640625,-5.9609375,-8.2578125,-16.015625,-19.53125,-7.703125,-10.6640625,-10.921875,-11.2421875,-8.8515625,-6.765625,-5.9921875,-9.125,-15.796875,-19.28125,-7.8203125,-10.6171875,-10.8828125,-11.84375,-9.03125
6,-9.75,-6.0,-3.34375,-9.1328125,-11.3125,-6.296875,-8.78125,-10.6953125,-8.6015625,-8.859375,-7.61328125,-5.21484375,-6.86328125,-15.7109375,-19.328125,-6.57421875,-9.515625,-12.4609375,-10.1875,-9.0703125,-6.71484375,-4.77734375,-7.17578125,-15.21875,-18.71875,-7.06640625,-9.4140625,-10.6171875,-9.921875,-8.78125,-6.890625,-4.9140625,-7.125,-15.8515625,-18.71875,-6.9296875,-9.8125,-11.4609375,-10.203125,-9.328125,-6.96875,-4.671875,-6.75,-14.71875,-18.09375,-7.171875,-9.3359375,-11.5625,-9.6328125,-9.1328125,-6.6484375,-5.0859375,-7.6875,-15.453125,-18.5625,-7.125,-9.984375,-12.203125,-10.7578125,-9.484375
7,-10.0859375,-6.0078125,-4.2734375,-9.3671875,-12.2421875,-6.515625,-8.75,-10.390625,-10.4140625,-9.3515625,-7.82421875,-6.08984375,-7.70703125,-15.3203125,-19.90625,-7.01171875,-11.0,-12.078125,-11.59375,-9.921875,-7.96875,-5.9375,-7.3984375,-15.625,-18.53125,-6.6640625,-10.0859375,-11.4609375,-10.5859375,-8.953125,-8.046875,-6.26953125,-7.43359375,-16.0625,-20.15625,-6.65234375,-10.71875,-11.7578125,-10.9296875,-9.4140625,-8.1015625,-6.41015625,-7.23828125,-15.3515625,-18.71875,-6.29296875,-10.6015625,-12.203125,-9.46875,-9.4609375,-6.765625,-5.9375,-6.6171875,-13.984375,-17.625,-6.046875,-9.7421875,-12.6875,-9.7578125,-9.6875
8,-9.015625,-6.22265625,-5.66796875,-10.9375,-14.671875,-7.02734375,-9.28125,-11.578125,-10.953125,-9.71875,-8.15625,-6.98828125,-8.96875,-16.984375,-21.140625,-8.5546875,-10.8046875,-13.3984375,-12.78125,-10.171875,-7.60546875,-7.23046875,-10.734375,-18.203125,-22.3125,-9.0546875,-11.828125,-13.7734375,-14.390625,-10.953125,-7.859375,-7.828125,-11.2265625,-18.328125,-22.890625,-10.0859375,-12.921875,-13.3828125,-14.9609375,-11.421875,-8.1953125,-7.62890625,-9.6796875,-18.171875,-21.21875,-9.25,-11.6953125,-12.6640625,-13.109375,-10.1875,-6.53125,-6.8125,-8.7109375,-16.46875,-20.171875,-8.1328125,-11.3828125,-12.421875,-12.890625,-9.8046875
9,-10.171875,-6.21875,-3.888671875,-10.3671875,-12.78125,-6.5234375,-9.0,-11.8125,-10.2734375,-10.1796875,-9.3515625,-7.44140625,-8.484375,-18.546875,-20.21875,-7.61328125,-12.171875,-14.6328125,-12.0703125,-10.6875,-7.39453125,-6.02734375,-7.31640625,-15.21875,-18.375,-6.62109375,-10.4609375,-11.1484375,-10.0625,-8.90625,-7.3359375,-5.453125,-6.8828125,-14.5078125,-18.390625,-6.25,-10.3125,-10.734375,-9.4296875,-8.6953125,-7.6328125,-5.7265625,-7.1171875,-15.25,-18.453125,-6.5546875,-10.078125,-11.2734375,-9.953125,-9.09375,-6.5625,-5.8984375,-6.9375,-13.75,-16.703125,-6.1796875,-9.5546875,-10.96875,-9.375,-8.65625
