elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
118,528,626,444,213,143,140,392,818,1,947
110,440,520,442,303,212,260,72,202,21,452
11,206,500,704,300,151,720,442,280,821,854
811,222,143,488,200,273,220,32,902,48,994
440,212,852,448,212,49,440,672,213,481,491
112,143,883,44,202,2,270,343,143,815,55
108,202,200,876,818,39,170,37,28,41,314
884,255,112,786,121,59,340,613,101,221,588
184,39,888,464,320,525,264,42,223,86,562
844,242,2,776,280,5,400,66,211,82,473
