,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.1328125,-7.08203125,-7.45703125,-6.51171875,-6.734375,-7.99609375
1,-5.97265625,-5.546875,-6.53515625,-6.640625,-6.8828125,-7.28125
2,-5.98828125,-6.140625,-7.58984375,-6.8203125,-7.390625,-7.859375
3,-5.51171875,-7.45703125,-7.30859375,-6.75390625,-6.71875,-6.70703125
4,-5.828125,-6.26171875,-7.4921875,-6.50390625,-6.78515625,-6.625
5,-6.0,-6.93359375,-7.4140625,-9.234375,-7.05859375,-7.62109375
6,-5.91015625,-7.53125,-7.296875,-6.90234375,-6.7421875,-7.60546875
7,-5.2890625,-6.65625,-6.95703125,-7.265625,-6.84765625,-7.50390625
8,-5.92578125,-7.19140625,-7.1796875,-7.7578125,-6.875,-7.90625
9,-6.02734375,-8.5078125,-7.34375,-6.671875,-6.09375,-6.76171875
10,-6.53125,-7.0625,-7.80078125,-7.3359375,-7.1328125,-7.0859375
11,-6.37890625,-8.953125,-5.59375,-5.96484375,-8.265625,-7.765625
12,-6.5234375,-6.1484375,-6.09375,-7.0234375,-7.234375,-6.84765625
13,-6.03125,-5.984375,-6.09375,-5.609375,-5.359375,-7.0546875
14,-6.45703125,-8.703125,-10.4765625,-8.140625,-8.0234375,-7.29296875
15,-5.94921875,-6.9296875,-6.99609375,-6.48828125,-6.45703125,-6.953125
16,-5.9375,-5.7421875,-6.65234375,-6.7109375,-6.74609375,-7.25390625
17,-6.00390625,-8.1640625,-8.609375,-8.609375,-8.6015625,-7.8984375
18,-6.73828125,-7.06640625,-7.67578125,-7.7109375,-6.90625,-7.2109375
19,-5.46875,-7.078125,-7.39453125,-6.8515625,-6.578125,-7.2421875
