,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-5.640625,-7.37890625,-6.82421875,-6.6328125,-7.0859375,-6.453125
1,-5.15625,-7.14453125,-6.81640625,-6.83203125,-6.90625,-7.12109375
2,-6.03515625,-7.4453125,-8.046875,-7.05078125,-7.30859375,-7.578125
3,-5.484375,-7.6875,-7.21484375,-7.3671875,-6.28125,-6.921875
4,-5.71875,-6.97265625,-7.2734375,-7.234375,-7.4375,-7.37109375
5,-5.3125,-7.640625,-7.7109375,-7.81640625,-7.52734375,-7.421875
6,-5.48828125,-9.3984375,-8.2109375,-8.0546875,-8.1171875,-8.078125
7,-5.4140625,-9.15625,-8.7578125,-8.1953125,-7.890625,-8.21875
8,-6.140625,-7.83984375,-8.515625,-8.1875,-7.76171875,-7.8359375
9,-5.32421875,-7.234375,-7.4140625,-7.75390625,-7.01953125,-6.88671875
10,-6.75390625,-8.3125,-10.109375,-9.046875,-8.984375,-7.53125
11,-4.6640625,-7.37109375,-7.3671875,-7.5234375,-7.203125,-7.62109375
12,-4.31640625,-8.9140625,-8.1640625,-7.875,-7.51171875,-7.04296875
13,-7.77734375,-10.0078125,-8.5234375,-7.51171875,-7.36328125,-7.19921875
14,-5.12109375,-7.35546875,-7.2109375,-7.07421875,-7.2890625,-6.9609375
15,-6.046875,-10.34375,-11.03125,-9.3671875,-8.8359375,-9.125
16,-5.04296875,-8.140625,-7.12890625,-6.98046875,-6.67578125,-7.0234375
17,-5.83984375,-8.7109375,-9.765625,-7.94921875,-7.390625,-7.53125
18,-5.75,-6.96484375,-7.921875,-8.6328125,-7.9921875,-7.69140625
19,-5.09375,-10.4375,-7.6328125,-7.140625,-6.8984375,-7.49609375
