,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-1.8603515625,-1.47265625,-1.7548828125,-3.111328125,-3.47265625,-3.853515625
1,-2.6953125,-2.82421875,-2.73828125,-3.560546875,-3.1796875,-3.9921875
2,-1.1396484375,-1.353515625,-5.10546875,-4.4375,-3.974609375,-4.671875
3,-1.6171875,-3.69140625,-3.205078125,-3.216796875,-3.083984375,-3.52734375
4,-1.9697265625,-2.357421875,-1.7001953125,-4.75,-4.140625,-4.0078125
5,-1.6318359375,-2.515625,-3.78515625,-4.25390625,-3.38671875,-3.76953125
6,-1.685546875,-2.330078125,-3.5078125,-2.966796875,-3.01953125,-3.404296875
7,-1.626953125,-2.9296875,-0.98974609375,-4.03515625,-3.58984375,-3.962890625
8,-1.890625,-1.1455078125,-1.80859375,-3.759765625,-2.794921875,-3.3984375
9,-1.919921875,-1.4248046875,-1.5654296875,-2.6875,-2.255859375,-3.939453125
10,-2.40625,-3.4765625,-3.96484375,-3.4296875,-2.603515625,-3.01171875
11,-1.9453125,-4.0546875,-5.14453125,-3.896484375,-3.3984375,-3.763671875
12,-1.5048828125,-0.54150390625,-0.53564453125,-1.7802734375,-2.951171875,-3.1875
13,-2.11328125,-0.412109375,-3.146484375,-3.615234375,-3.40234375,-3.5
14,-2.466796875,-3.765625,-3.20703125,-2.498046875,-2.611328125,-3.12109375
15,-1.998046875,-2.66015625,-2.763671875,-3.044921875,-3.15234375,-3.111328125
16,-1.77734375,-2.595703125,-2.45703125,-2.91796875,-2.681640625,-2.896484375
17,-1.7783203125,-0.92822265625,-1.8974609375,-4.03515625,-3.8984375,-3.640625
18,-1.521484375,-3.05078125,-3.208984375,-3.951171875,-4.83203125,-4.71484375
19,-2.021484375,-1.5283203125,-2.0390625,-4.95703125,-3.474609375,-4.13671875
