,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-1.4541015625,-1.3359375,-2.14453125,-2.609375,-3.333984375,-4.015625
1,-2.1640625,-3.9140625,-3.95703125,-3.841796875,-3.619140625,-3.833984375
2,-2.45703125,-3.087890625,-3.2578125,-3.8515625,-3.578125,-3.458984375
3,-2.71875,-5.12890625,-5.734375,-4.02734375,-3.130859375,-3.236328125
4,-2.060546875,-5.15234375,-4.36328125,-4.78125,-3.880859375,-4.01953125
5,-2.396484375,-3.4921875,-3.484375,-3.330078125,-3.27734375,-3.21484375
6,-3.98046875,-3.40234375,-2.544921875,-3.111328125,-2.876953125,-4.41796875
7,-2.23828125,-1.408203125,-1.6865234375,-3.50390625,-2.95703125,-3.341796875
8,-2.1875,-4.0234375,-3.01953125,-2.947265625,-3.3828125,-3.73828125
9,-2.353515625,-4.8671875,-3.908203125,-3.9375,-3.775390625,-3.916015625
10,-2.66015625,-3.904296875,-3.658203125,-2.80078125,-3.04296875,-2.978515625
11,-2.59375,-3.16015625,-4.390625,-4.77734375,-3.615234375,-3.435546875
12,-3.123046875,-4.2578125,-3.181640625,-3.111328125,-3.462890625,-3.99609375
13,-1.896484375,-2.42578125,-2.1796875,-2.7578125,-3.658203125,-3.52734375
14,-3.0546875,-4.3046875,-3.603515625,-4.046875,-3.310546875,-3.986328125
15,-2.61328125,-3.57421875,-3.205078125,-3.60546875,-3.876953125,-4.1953125
16,-2.857421875,-3.419921875,-2.45703125,-2.080078125,-2.09375,-2.6484375
17,-2.388671875,-4.2421875,-4.30859375,-4.46875,-3.77734375,-4.11328125
18,-2.033203125,-4.31640625,-4.30859375,-4.671875,-3.287109375,-3.875
19,-2.47265625,-4.54296875,-3.986328125,-3.3203125,-2.716796875,-3.3828125
