,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-2.34375,-6.66015625,-6.71875,-6.33203125,-6.39453125,-6.8828125
1,-2.771484375,-6.734375,-5.29296875,-6.20703125,-6.0546875,-6.09375
2,-2.583984375,-5.8828125,-5.94140625,-5.5859375,-5.7421875,-5.74609375
3,-1.8291015625,-4.25,-7.3125,-6.71875,-6.74609375,-6.125
4,-1.572265625,-7.8125,-7.484375,-7.55078125,-7.484375,-7.109375
5,-1.5947265625,-7.41015625,-6.85546875,-7.21875,-7.17578125,-7.875
6,-2.197265625,-5.94921875,-7.609375,-6.94140625,-6.81640625,-6.57421875
7,-1.8359375,-7.4609375,-6.55078125,-6.91796875,-6.33203125,-5.671875
8,-3.1171875,-3.708984375,-4.95703125,-7.015625,-6.46484375,-6.375
9,-1.791015625,-3.40625,-6.41796875,-5.2890625,-4.96875,-5.03125
10,-2.25,-7.046875,-6.3828125,-6.33984375,-6.40234375,-6.578125
11,-2.099609375,-4.6796875,-5.91015625,-5.9296875,-6.6484375,-6.21875
12,-1.982421875,-4.15625,-5.5625,-6.7890625,-5.7734375,-7.33203125
13,-2.619140625,-5.9375,-6.02734375,-6.02734375,-5.85546875,-6.8984375
14,-1.9365234375,-6.78515625,-6.6640625,-4.99609375,-5.4609375,-6.0546875
15,-1.8828125,-7.11328125,-5.65234375,-5.6328125,-5.6328125,-6.59765625
16,-2.41796875,-6.109375,-5.99609375,-5.99609375,-5.99609375,-6.625
17,-1.96484375,-7.15625,-7.6171875,-6.75390625,-6.9140625,-7.26171875
18,-2.443359375,-5.8203125,-6.41796875,-6.30078125,-5.76171875,-6.703125
19,-2.546875,-6.8984375,-6.59765625,-5.6796875,-6.14453125,-6.671875
