,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-6.4921875,-6.60546875,-6.0703125,-6.75390625,-4.78515625,-5.1875
1,-3.751953125,-3.958984375,-5.734375,-5.58203125,-5.34765625,-5.41796875
2,-3.873046875,-5.55859375,-5.65234375,-4.875,-4.390625,-4.9375
3,-3.5078125,-7.15625,-5.94921875,-6.74609375,-6.36328125,-6.92578125
4,-3.453125,-5.9609375,-7.66015625,-7.6484375,-6.890625,-6.3828125
5,-3.57421875,-5.12890625,-7.39453125,-6.2109375,-6.26171875,-5.22265625
6,-4.625,-4.0859375,-4.578125,-6.96484375,-8.6171875,-8.109375
7,-4.19921875,-7.23046875,-7.2734375,-5.98828125,-5.9375,-6.0234375
8,-5.48046875,-5.484375,-6.2265625,-6.51171875,-6.39453125,-6.9765625
9,-3.1953125,-2.24609375,-2.1640625,-4.69140625,-6.8984375,-5.59765625
10,-4.25390625,-4.21875,-5.10546875,-6.2890625,-4.1875,-4.84375
11,-2.537109375,-6.48828125,-6.69140625,-7.34375,-6.55859375,-6.55859375
12,-3.919921875,-7.23828125,-6.52734375,-5.890625,-6.35546875,-5.75390625
13,-4.5859375,-7.10546875,-7.91015625,-6.2578125,-5.67578125,-5.96484375
14,-5.140625,-4.71484375,-7.62890625,-6.046875,-5.97265625,-6.10546875
15,-3.44921875,-6.8515625,-5.7109375,-5.796875,-5.70703125,-6.08203125
16,-5.02734375,-6.97265625,-6.63671875,-6.359375,-6.01171875,-6.33984375
17,-3.50390625,-3.615234375,-5.7109375,-6.76953125,-5.921875,-6.36328125
18,-3.404296875,-7.390625,-6.52734375,-5.296875,-5.6328125,-6.2578125
19,-3.958984375,-4.796875,-6.4296875,-6.07421875,-5.6640625,-5.16796875
