,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-3.625,-9.40625,-10.5234375,-9.96875,-9.7890625,-9.9140625
1,-4.5234375,-9.15625,-10.1484375,-9.6015625,-9.8359375,-9.6796875
2,-4.3671875,-10.46875,-10.1015625,-9.875,-9.4453125,-9.046875
3,-3.28125,-9.828125,-10.25,-9.9453125,-9.765625,-9.078125
4,-4.4296875,-5.70703125,-8.6484375,-9.921875,-10.40625,-9.75
5,-4.32421875,-7.12890625,-9.609375,-9.96875,-9.625,-8.953125
6,-4.42578125,-6.96875,-10.265625,-10.5625,-10.390625,-10.828125
7,-3.234375,-9.078125,-9.5859375,-10.046875,-9.5078125,-9.2890625
8,-3.703125,-10.078125,-10.1328125,-10.015625,-9.984375,-9.9375
9,-4.12890625,-6.45703125,-10.1953125,-9.9609375,-10.6015625,-9.921875
10,-4.07421875,-8.5234375,-10.0859375,-8.984375,-8.59375,-9.1015625
11,-3.189453125,-11.328125,-10.46875,-9.4375,-9.875,-10.6328125
12,-4.265625,-8.7578125,-11.34375,-11.671875,-12.0,-11.8359375
13,-3.802734375,-7.2109375,-9.5078125,-9.8984375,-9.90625,-9.8046875
14,-4.296875,-11.078125,-10.9140625,-10.53125,-10.5234375,-9.8359375
15,-3.482421875,-10.796875,-10.71875,-9.78125,-10.4375,-10.453125
16,-4.08984375,-10.109375,-10.1796875,-10.234375,-9.8984375,-10.3828125
17,-5.265625,-9.3125,-11.6484375,-10.328125,-10.1171875,-10.15625
18,-3.927734375,-4.41015625,-4.83984375,-7.26171875,-7.2265625,-7.57421875
19,-4.140625,-10.15625,-10.078125,-10.0234375,-10.125,-10.21875
