,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-4.5234375,-6.22265625,-7.83984375,-8.859375,-9.3828125,-9.96875
1,-3.619140625,-4.59375,-5.21484375,-9.484375,-9.6953125,-9.8515625
2,-4.42578125,-4.734375,-3.87890625,-9.859375,-9.4296875,-8.21875
3,-3.248046875,-7.296875,-10.15625,-9.6953125,-9.65625,-10.3125
4,-5.1171875,-5.16796875,-8.8828125,-10.6015625,-9.9921875,-11.265625
5,-3.171875,-4.2890625,-6.44921875,-9.0078125,-9.34375,-9.2109375
6,-2.951171875,-8.65625,-10.1328125,-7.99609375,-8.2109375,-8.9453125
7,-4.2265625,-11.390625,-11.359375,-10.4140625,-9.984375,-10.765625
8,-3.837890625,-6.203125,-10.3984375,-9.2109375,-9.4453125,-8.8515625
9,-3.275390625,-3.67578125,-8.9375,-9.6171875,-9.8671875,-9.8828125
10,-3.787109375,-5.26953125,-9.65625,-9.640625,-9.640625,-9.953125
11,-3.134765625,-6.83203125,-10.421875,-9.5390625,-9.5,-10.90625
12,-3.259765625,-10.078125,-9.96875,-9.15625,-9.734375,-10.2578125
13,-3.958984375,-5.3359375,-4.8984375,-8.9609375,-8.3671875,-9.3125
14,-3.427734375,-5.14453125,-9.78125,-9.1640625,-9.3203125,-10.375
15,-3.189453125,-9.21875,-10.2109375,-9.34375,-9.9921875,-10.0859375
16,-3.15625,-9.84375,-10.3125,-9.3359375,-10.0390625,-9.9296875
17,-3.197265625,-10.546875,-10.453125,-10.65625,-10.3125,-10.578125
18,-3.6015625,-9.3203125,-9.5546875,-8.8359375,-8.9609375,-9.6796875
19,-4.3671875,-8.7734375,-9.6875,-10.4296875,-10.3984375,-11.7265625
