,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-5.96875,-12.9140625,-13.046875,-12.8203125,-12.6953125,-11.9765625
1,-5.984375,-12.125,-12.4453125,-12.0,-11.8515625,-12.203125
2,-4.6796875,-10.90625,-13.234375,-12.1328125,-11.4375,-12.671875
3,-6.2421875,-6.58984375,-8.1875,-11.484375,-12.140625,-12.421875
4,-6.37890625,-12.0,-12.453125,-11.75,-11.8515625,-11.953125
5,-5.546875,-12.046875,-12.0859375,-11.8671875,-12.2421875,-12.640625
6,-5.42578125,-7.41796875,-10.359375,-10.8671875,-11.28125,-11.3515625
7,-5.69140625,-12.078125,-12.7421875,-11.515625,-12.2109375,-12.2109375
8,-5.5234375,-11.953125,-11.65625,-11.8984375,-11.3359375,-11.3828125
9,-5.6640625,-12.0546875,-11.84375,-11.734375,-11.5,-12.3671875
10,-6.5859375,-8.25,-12.3515625,-11.8359375,-11.921875,-10.71875
11,-5.640625,-12.4296875,-11.8671875,-11.8203125,-12.359375,-11.859375
12,-5.79296875,-13.171875,-14.1015625,-12.78125,-13.1484375,-13.2578125
13,-5.82421875,-12.421875,-12.0625,-12.125,-11.9296875,-11.328125
14,-5.6796875,-12.0625,-12.03125,-11.6796875,-10.6484375,-11.5703125
15,-5.421875,-11.3203125,-9.1484375,-10.671875,-10.9140625,-11.6328125
16,-5.921875,-11.6171875,-12.625,-10.8515625,-11.6953125,-11.0703125
17,-5.14453125,-12.25,-12.6015625,-11.859375,-12.1953125,-12.2265625
18,-6.27734375,-9.375,-11.609375,-12.4375,-12.0859375,-12.125
19,-5.61328125,-12.234375,-12.734375,-12.75,-12.8203125,-13.0
