,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-6.15234375,-12.203125,-11.90625,-11.8359375,-12.3359375,-10.953125
1,-6.45703125,-7.0234375,-10.84375,-12.09375,-11.0,-12.140625
2,-6.5390625,-6.40625,-10.8671875,-11.6953125,-11.9453125,-12.6328125
3,-6.46484375,-13.203125,-12.34375,-13.296875,-11.9765625,-12.203125
4,-5.65625,-7.7890625,-7.984375,-10.234375,-10.703125,-12.328125
5,-5.81640625,-12.9296875,-10.71875,-11.3046875,-11.40625,-12.2734375
6,-6.25390625,-8.9609375,-11.875,-11.6484375,-11.5078125,-11.0546875
7,-5.84765625,-6.84765625,-10.5703125,-11.2109375,-11.8984375,-12.40625
8,-6.8671875,-11.4375,-11.4140625,-12.0,-11.2890625,-12.953125
9,-5.12890625,-4.91015625,-10.859375,-11.90625,-10.90625,-12.5078125
10,-6.7890625,-7.38671875,-8.203125,-12.1953125,-12.7578125,-12.984375
11,-6.58203125,-10.3046875,-10.84375,-11.265625,-10.5234375,-12.2265625
12,-5.7578125,-7.91015625,-7.10546875,-12.328125,-11.6328125,-12.5859375
13,-6.625,-11.125,-12.7265625,-11.7890625,-11.5078125,-12.0703125
14,-6.35546875,-8.3671875,-9.75,-12.546875,-11.8828125,-10.3828125
15,-5.30859375,-10.1953125,-12.7109375,-10.953125,-11.171875,-11.8203125
16,-5.6171875,-11.1640625,-12.03125,-10.6328125,-11.890625,-12.6875
17,-7.62890625,-8.46875,-12.09375,-9.109375,-11.9765625,-11.484375
18,-6.578125,-7.515625,-6.3671875,-6.9140625,-12.4765625,-12.5234375
19,-5.81640625,-10.734375,-12.015625,-13.5859375,-13.125,-14.28125
