,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-6.5078125,-7.03515625,-9.2578125,-12.1875,-10.171875,-11.9140625
1,-6.6328125,-4.87890625,-10.0,-10.0,-10.0,-11.421875
2,-7.4765625,-8.6015625,-7.08203125,-10.3203125,-10.1953125,-11.2890625
3,-5.90625,-8.25,-10.453125,-10.0390625,-10.78125,-11.546875
4,-5.78125,-10.46875,-10.984375,-7.85546875,-9.71875,-11.3359375
5,-6.00390625,-5.86328125,-10.8828125,-9.6328125,-10.5390625,-10.484375
6,-7.1484375,-8.890625,-9.4296875,-8.6484375,-9.6171875,-10.2890625
7,-6.40234375,-9.375,-10.21875,-10.3984375,-10.7265625,-10.0390625
8,-6.8515625,-8.015625,-7.30859375,-11.4921875,-10.6640625,-12.375
9,-5.9140625,-5.78515625,-8.109375,-10.78125,-11.5390625,-12.2734375
10,-6.4296875,-10.296875,-11.1015625,-10.46875,-10.5625,-11.3125
11,-6.37890625,-8.9765625,-11.5546875,-9.7734375,-10.6640625,-8.921875
12,-6.53515625,-9.8671875,-11.109375,-9.84375,-9.8828125,-10.9609375
13,-7.1484375,-8.984375,-7.31640625,-10.71875,-9.7109375,-11.359375
14,-7.63671875,-8.8046875,-10.5078125,-11.15625,-9.578125,-10.5
15,-5.81640625,-9.0078125,-10.984375,-10.1171875,-10.5859375,-10.890625
16,-6.08203125,-8.5390625,-10.2109375,-9.8359375,-9.96875,-11.9765625
17,-6.015625,-10.0546875,-11.84375,-10.9921875,-10.796875,-11.3359375
18,-7.296875,-9.359375,-10.078125,-11.0234375,-9.921875,-11.0546875
19,-5.73828125,-9.5234375,-10.3984375,-11.4765625,-9.4921875,-10.8125
