,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-6.3359375,-6.7265625,-8.1953125,-9.953125,-10.765625,-11.2421875
1,-7.06640625,-9.7578125,-11.0703125,-10.140625,-9.9140625,-11.0390625
2,-7.16015625,-10.03125,-10.5234375,-10.1953125,-10.578125,-10.046875
3,-7.6015625,-10.25,-11.0234375,-10.34375,-9.140625,-10.359375
4,-6.86328125,-9.046875,-11.7109375,-11.1796875,-10.53125,-11.5546875
5,-5.94921875,-9.7265625,-10.515625,-10.2734375,-9.8984375,-11.0234375
6,-8.9140625,-8.953125,-10.09375,-10.765625,-10.109375,-11.296875
7,-6.18359375,-6.25,-6.984375,-10.2421875,-9.7890625,-10.8125
8,-6.71875,-10.03125,-10.3515625,-10.3515625,-10.1953125,-10.4765625
9,-6.875,-11.4296875,-11.765625,-11.3203125,-11.265625,-11.9375
10,-6.91015625,-8.8671875,-10.875,-9.1875,-10.1484375,-10.3359375
11,-6.78125,-6.81640625,-11.3984375,-10.7578125,-9.921875,-10.2421875
12,-7.48046875,-10.671875,-10.5625,-10.46875,-10.5234375,-11.0234375
13,-6.296875,-8.921875,-9.4921875,-10.1328125,-10.2578125,-11.1328125
14,-7.5859375,-10.8046875,-10.6328125,-9.9921875,-10.5546875,-11.5625
15,-6.90234375,-10.25,-10.1796875,-10.875,-11.5078125,-12.2109375
16,-6.921875,-9.921875,-9.90625,-8.7578125,-8.84375,-10.6796875
17,-7.08984375,-10.75,-11.515625,-10.875,-11.015625,-11.5703125
18,-7.0078125,-11.046875,-11.546875,-11.4609375,-10.875,-12.4140625
19,-7.05859375,-10.9921875,-10.578125,-9.78125,-9.265625,-10.8125
