,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-2.5078125,-11.875,-10.671875,-10.78125,-10.3125,-11.015625
1,-3.396484375,-11.859375,-12.515625,-12.296875,-11.8203125,-12.703125
2,-2.7265625,-10.4453125,-10.6328125,-10.4609375,-10.03125,-10.3515625
3,-2.5234375,-12.2109375,-11.828125,-10.0078125,-9.84375,-11.3984375
4,-2.408203125,-11.0546875,-11.1875,-9.515625,-9.859375,-11.2421875
5,-2.486328125,-4.796875,-10.8984375,-11.3203125,-11.734375,-10.5859375
6,-2.974609375,-5.609375,-10.9609375,-9.3046875,-9.1328125,-10.3515625
7,-2.58203125,-10.140625,-10.21875,-9.734375,-9.3125,-10.1484375
8,-2.640625,-8.03125,-12.1015625,-12.4453125,-10.734375,-12.2890625
9,-3.18359375,-5.0234375,-3.91015625,-11.1953125,-11.6796875,-11.0625
10,-3.26171875,-8.4765625,-12.078125,-11.578125,-11.4609375,-10.859375
11,-3.45703125,-11.6953125,-12.78125,-12.6796875,-12.078125,-12.0
12,-2.435546875,-10.9296875,-11.2421875,-10.3828125,-10.8203125,-10.5234375
13,-2.03125,-9.8828125,-10.59375,-10.6328125,-11.1484375,-11.3125
14,-3.115234375,-5.78515625,-11.1171875,-11.53125,-11.234375,-11.5703125
15,-1.9716796875,-10.6796875,-10.421875,-10.421875,-10.421875,-11.109375
16,-2.619140625,-10.9296875,-11.0390625,-10.59375,-11.0234375,-10.28125
17,-3.66015625,-7.21484375,-12.1796875,-11.2109375,-11.2578125,-11.7578125
18,-3.0390625,-4.30859375,-11.921875,-9.1640625,-10.625,-9.3046875
19,-2.8359375,-10.8359375,-10.5390625,-10.34375,-10.9296875,-11.5625
