,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-2.1875,-3.80859375,-9.1953125,-11.515625,-11.7890625,-12.2109375
1,-6.05078125,-8.984375,-11.25,-10.25,-10.4296875,-8.96875
2,-4.25,-7.94140625,-12.2265625,-12.984375,-11.2734375,-12.6328125
3,-4.89453125,-8.265625,-12.7109375,-12.375,-11.140625,-11.6484375
4,-5.3671875,-7.05078125,-7.91796875,-10.296875,-12.4296875,-12.484375
5,-3.5078125,-10.5859375,-13.0,-12.3125,-11.9765625,-12.4765625
6,-4.4609375,-10.1171875,-12.046875,-12.1328125,-12.5390625,-12.921875
7,-2.98828125,-9.9765625,-11.21875,-11.9921875,-10.46875,-12.078125
8,-4.515625,-8.2890625,-13.6171875,-12.28125,-11.625,-13.3671875
9,-4.34765625,-12.1953125,-12.3828125,-11.28125,-11.9921875,-12.8828125
10,-5.32421875,-7.16015625,-8.2265625,-12.1875,-12.3203125,-14.2421875
11,-4.33203125,-7.2421875,-9.84375,-8.1953125,-8.3984375,-8.75
12,-3.748046875,-11.609375,-12.5546875,-10.453125,-10.15625,-10.3125
13,-7.125,-7.81640625,-11.3046875,-12.25,-12.1875,-11.2421875
14,-2.658203125,-12.1328125,-12.0234375,-11.15625,-10.078125,-8.5390625
15,-5.29296875,-6.26953125,-8.5546875,-10.4921875,-11.8828125,-12.734375
16,-4.38671875,-7.11328125,-8.9921875,-9.9375,-12.7734375,-13.171875
17,-4.703125,-7.3515625,-12.8515625,-11.21875,-11.609375,-11.53125
18,-4.55078125,-7.2421875,-11.859375,-12.6015625,-12.03125,-12.609375
19,-3.931640625,-9.140625,-12.5625,-12.15625,-11.8515625,-12.78125
