,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.796875,-8.984375,-8.4765625,-8.5,-8.3984375,-8.7109375
1,-8.9140625,-8.890625,-8.1875,-8.4375,-7.4765625,-8.0703125
2,-7.515625,-8.2890625,-8.4765625,-8.6484375,-8.265625,-8.3203125
3,-7.30859375,-8.4140625,-8.234375,-8.2265625,-8.25,-8.390625
4,-8.0859375,-9.140625,-9.046875,-8.828125,-8.109375,-8.6328125
5,-8.515625,-9.15625,-9.34375,-8.5859375,-8.265625,-8.1796875
6,-8.765625,-9.0703125,-10.984375,-9.4453125,-8.9921875,-9.5390625
7,-7.3671875,-8.875,-8.546875,-8.8125,-8.984375,-8.8046875
8,-8.4921875,-9.046875,-8.5859375,-8.2265625,-8.3828125,-8.4765625
9,-8.4765625,-7.4296875,-8.9140625,-9.28125,-9.1015625,-9.15625
10,-8.5546875,-6.76171875,-7.14453125,-8.125,-8.6484375,-8.734375
11,-8.8046875,-9.125,-8.5390625,-8.375,-8.0390625,-8.0546875
12,-8.796875,-8.4765625,-8.2421875,-8.4609375,-8.5390625,-9.0234375
13,-8.0390625,-8.6875,-8.0703125,-8.6171875,-8.8515625,-8.53125
14,-7.609375,-6.6171875,-8.78125,-8.34375,-7.5234375,-8.1015625
15,-8.265625,-8.1171875,-8.6328125,-8.1953125,-8.8125,-8.953125
16,-7.375,-6.7421875,-8.90625,-8.5390625,-8.1328125,-9.1953125
17,-7.703125,-8.96875,-8.4296875,-8.1484375,-8.1484375,-8.6875
18,-8.515625,-9.7890625,-9.2265625,-9.1328125,-9.0234375,-9.21875
19,-7.484375,-7.5703125,-8.0546875,-8.140625,-8.1328125,-9.2890625
