,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.73828125,-7.21875,-8.078125,-8.3828125,-8.703125,-8.4140625
1,-7.87890625,-8.5390625,-8.9375,-8.1484375,-8.328125,-8.125
2,-8.4921875,-7.7109375,-6.79296875,-7.546875,-7.09765625,-8.6484375
3,-7.16796875,-6.48828125,-6.55078125,-6.64453125,-6.64453125,-6.87109375
4,-7.34375,-8.3984375,-8.4140625,-8.203125,-8.1796875,-8.421875
5,-7.96875,-9.375,-8.7421875,-8.3125,-8.640625,-9.21875
6,-8.015625,-7.45703125,-6.40234375,-8.4296875,-7.94140625,-8.5546875
7,-7.6640625,-8.15625,-8.7265625,-8.671875,-8.6953125,-8.9921875
8,-8.0078125,-6.4296875,-7.01953125,-7.359375,-8.3515625,-8.1015625
9,-7.7734375,-6.37890625,-7.9375,-8.0625,-8.546875,-8.3984375
10,-8.171875,-7.52734375,-8.1484375,-8.71875,-8.859375,-8.2578125
11,-7.55859375,-7.6171875,-8.7734375,-8.4375,-8.0390625,-8.4921875
12,-8.03125,-7.31640625,-7.8203125,-7.796875,-6.81640625,-7.2109375
13,-8.3984375,-8.25,-7.8359375,-8.1484375,-8.140625,-8.140625
14,-7.87890625,-8.703125,-6.9375,-8.484375,-8.2578125,-8.3984375
15,-7.33203125,-6.78515625,-8.015625,-8.9453125,-8.7734375,-8.71875
16,-7.5390625,-8.328125,-8.015625,-6.6328125,-7.79296875,-8.1171875
17,-7.2109375,-8.609375,-8.6328125,-8.21875,-8.4296875,-8.7734375
18,-8.15625,-8.5703125,-8.71875,-7.81640625,-7.796875,-7.796875
19,-8.6484375,-11.078125,-7.78125,-7.58203125,-7.69921875,-8.671875
