,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-6.609375,-6.0546875,-6.515625,-6.03515625,-6.8359375,-6.44140625
1,-6.625,-6.97265625,-11.7890625,-11.5625,-11.8515625,-11.1796875
2,-7.4921875,-8.0390625,-11.28125,-11.125,-10.2421875,-9.5625
3,-6.91015625,-8.4609375,-8.5859375,-9.2578125,-8.7578125,-9.1484375
4,-6.68359375,-10.3125,-9.6328125,-9.828125,-9.875,-9.6015625
5,-6.93359375,-9.3984375,-9.75,-9.9609375,-10.015625,-10.6796875
6,-6.94921875,-7.8828125,-9.7109375,-9.5625,-9.4453125,-10.4140625
7,-7.05859375,-8.1171875,-10.15625,-9.984375,-9.8203125,-10.4375
8,-7.9609375,-7.34765625,-10.2890625,-10.4375,-9.15625,-9.328125
9,-6.9453125,-6.83984375,-9.6484375,-9.875,-9.7265625,-10.21875
10,-7.12890625,-8.7421875,-10.4453125,-9.1640625,-8.4921875,-9.1796875
11,-6.14453125,-8.6953125,-9.5,-9.40625,-9.7890625,-10.125
12,-6.2421875,-9.640625,-9.8359375,-9.0859375,-8.640625,-10.828125
13,-8.8515625,-9.7421875,-10.015625,-10.3046875,-9.7890625,-10.90625
14,-6.9375,-8.4296875,-8.7109375,-9.578125,-9.1640625,-9.8984375
15,-8.3515625,-8.8671875,-8.7109375,-8.7109375,-8.8203125,-10.0
16,-8.1953125,-8.71875,-8.578125,-9.09375,-9.4296875,-10.5546875
17,-6.98046875,-9.4921875,-9.4140625,-9.5,-9.984375,-9.9765625
18,-7.15625,-7.6875,-9.5234375,-9.65625,-9.46875,-10.328125
19,-7.4765625,-9.5234375,-9.609375,-9.0390625,-8.4921875,-9.6875
