,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-6.078125,-9.75,-9.1796875,-9.0703125,-9.046875,-10.28125
1,-7.41015625,-4.9765625,-5.4296875,-9.15625,-9.3359375,-10.1640625
2,-5.1328125,-9.140625,-9.125,-8.8203125,-9.140625,-9.421875
3,-6.2578125,-6.20703125,-8.7578125,-8.859375,-8.6796875,-9.8359375
4,-5.62109375,-8.203125,-6.33203125,-8.7578125,-9.296875,-9.9921875
5,-7.609375,-7.71875,-9.9296875,-9.1015625,-9.828125,-8.6953125
6,-6.6640625,-6.88671875,-4.43359375,-10.0,-8.578125,-9.9453125
7,-5.3828125,-6.17578125,-9.8984375,-8.78125,-8.7890625,-8.3125
8,-6.8515625,-6.41015625,-4.96484375,-9.7265625,-9.3984375,-10.2734375
9,-7.453125,-8.125,-5.1484375,-10.5703125,-9.3671875,-9.8828125
10,-7.08203125,-6.0,-5.921875,-6.765625,-9.8671875,-9.9765625
11,-7.2578125,-7.1171875,-6.1953125,-4.8125,-8.5703125,-10.6640625
12,-6.51171875,-6.3515625,-9.5390625,-8.6953125,-9.5078125,-9.7578125
13,-7.421875,-10.4140625,-8.4140625,-9.9453125,-8.9609375,-10.2265625
14,-5.61328125,-9.0,-9.5859375,-9.0625,-8.796875,-10.03125
15,-5.90234375,-8.65625,-9.46875,-8.78125,-8.78125,-9.4375
16,-8.71875,-5.00390625,-4.5859375,-7.6171875,-5.4765625,-6.23046875
17,-6.0078125,-8.8828125,-10.09375,-9.4609375,-8.6328125,-9.0625
18,-7.17578125,-6.625,-9.890625,-8.2421875,-9.0625,-10.28125
19,-5.92578125,-7.41015625,-9.8828125,-8.546875,-10.1015625,-10.46875
