,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-8.90625,-6.69140625,-10.6328125,-11.6328125,-12.015625,-11.890625
1,-6.34375,-11.703125,-12.0390625,-10.53125,-11.625,-12.6171875
2,-9.515625,-13.09375,-12.953125,-14.2734375,-13.9140625,-14.09375
3,-7.37890625,-7.8046875,-7.3359375,-9.6953125,-10.09375,-11.9453125
4,-7.4375,-14.578125,-12.6640625,-9.9140625,-9.5234375,-10.9140625
5,-6.6484375,-11.75,-10.4140625,-9.28125,-9.0234375,-9.3984375
6,-8.84375,-9.71875,-10.0625,-9.6953125,-7.9140625,-11.859375
7,-7.04296875,-9.65625,-12.90625,-10.890625,-10.3671875,-11.359375
8,-7.2734375,-7.0625,-11.546875,-11.28125,-11.6640625,-11.3828125
9,-8.6171875,-10.3203125,-11.421875,-11.7265625,-9.90625,-11.21875
10,-8.15625,-12.6875,-12.5234375,-13.0,-12.890625,-12.8984375
11,-7.56640625,-11.1875,-10.4453125,-11.53125,-10.328125,-9.328125
12,-6.77734375,-9.390625,-11.234375,-9.03125,-9.9296875,-11.4296875
13,-8.109375,-8.984375,-8.3125,-9.40625,-10.234375,-12.03125
14,-8.6640625,-13.0,-11.78125,-8.2109375,-8.5703125,-10.0078125
15,-7.80078125,-6.203125,-7.171875,-8.390625,-12.9609375,-11.4609375
16,-7.5703125,-8.2109375,-12.796875,-12.1171875,-12.84375,-13.3046875
17,-8.625,-13.75,-15.6875,-14.078125,-12.921875,-12.046875
18,-7.796875,-13.34375,-12.9921875,-13.2734375,-12.8125,-12.140625
19,-7.3984375,-6.8828125,-7.8515625,-9.2109375,-10.1875,-9.8671875
