,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-5.953125,-9.6953125,-13.09375,-11.28125,-10.7890625,-12.2890625
1,-4.921875,-10.75,-10.9765625,-8.859375,-9.6796875,-10.0546875
2,-5.48046875,-10.3359375,-11.4140625,-10.546875,-11.2578125,-12.4609375
3,-5.71875,-7.08203125,-11.890625,-11.046875,-11.765625,-11.8828125
4,-5.92578125,-7.3515625,-11.2109375,-11.265625,-10.8125,-11.171875
5,-5.8515625,-11.390625,-12.78125,-8.1015625,-8.5546875,-11.21875
6,-6.41796875,-6.05078125,-12.578125,-11.1328125,-9.6875,-10.2890625
7,-5.9765625,-7.38671875,-12.1171875,-13.3828125,-9.8203125,-11.359375
8,-7.578125,-10.3828125,-10.7109375,-11.3046875,-8.046875,-8.7265625
9,-5.73046875,-6.1328125,-10.8984375,-12.2890625,-10.234375,-11.9453125
10,-7.58203125,-10.828125,-10.5,-9.6171875,-10.0546875,-10.46875
11,-5.25,-12.3046875,-11.3828125,-11.3828125,-11.3828125,-13.1015625
12,-5.4296875,-11.578125,-11.0703125,-10.890625,-11.2734375,-11.4921875
13,-5.95703125,-10.265625,-11.78125,-10.28125,-11.703125,-11.7578125
14,-5.3203125,-10.484375,-13.1328125,-11.703125,-11.421875,-10.796875
15,-5.55859375,-6.21484375,-7.15625,-10.765625,-10.828125,-11.78125
16,-6.51171875,-10.8203125,-10.765625,-10.734375,-10.765625,-12.2890625
17,-6.36328125,-7.0390625,-6.765625,-7.57421875,-9.2578125,-10.6015625
18,-6.4921875,-11.0234375,-12.515625,-11.7578125,-10.6328125,-11.9765625
19,-5.39453125,-11.9375,-12.6484375,-12.09375,-12.8125,-10.7890625
