,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-8.2578125,-7.6875,-10.3125,-7.8671875,-10.75,-12.890625,-9.328125,-11.125,-12.09375,-11.2734375,-8.2421875,-4.5859375,-9.6796875,-12.859375,-11.4140625,-13.0234375,-10.3515625,-9.0625,-10.078125,-8.234375,-5.46875,-3.458984375,-9.109375,-10.6328125,-11.8125,-10.4375,-9.0703125,-6.6015625,-9.9375,-7.97265625,-6.26171875,-3.61328125,-10.625,-11.84375,-12.4375,-11.9375,-9.84375,-7.12109375,-11.25,-8.7890625,-6.1171875,-3.732421875,-11.2109375,-11.7109375,-12.3046875,-12.1015625,-9.7265625,-7.03125,-11.015625,-8.96875,-5.734375,-3.552734375,-11.4921875,-12.03125,-12.9609375,-12.109375,-10.0078125,-7.1171875,-11.828125,-9.0234375
1,-7.6328125,-7.4453125,-10.3125,-6.2578125,-10.3203125,-12.1875,-8.6171875,-10.2421875,-11.9609375,-10.578125,-7.984375,-4.6328125,-8.6484375,-10.7421875,-10.921875,-11.3828125,-9.5546875,-8.25,-9.46875,-8.3671875,-7.6875,-4.171875,-10.2265625,-12.2734375,-12.765625,-12.515625,-10.3515625,-7.8984375,-11.09375,-8.8828125,-7.93359375,-4.26171875,-10.3984375,-12.515625,-12.9609375,-12.71875,-10.4140625,-8.3046875,-11.234375,-9.109375,-7.9765625,-4.328125,-10.4296875,-12.90625,-13.15625,-12.953125,-10.8359375,-8.4921875,-11.3671875,-9.0546875,-7.4375,-4.34375,-11.3828125,-12.78125,-13.3203125,-13.8515625,-10.765625,-7.734375,-12.3984375,-9.0546875
2,-6.390625,-6.4453125,-9.015625,-5.4140625,-9.5390625,-11.6875,-7.9375,-9.359375,-10.984375,-9.890625,-7.3203125,-3.6640625,-9.859375,-12.5078125,-12.9609375,-12.6484375,-10.8671875,-8.421875,-10.8984375,-8.4453125,-7.375,-3.318359375,-10.2265625,-11.8671875,-12.953125,-13.0546875,-10.7890625,-8.328125,-10.84375,-8.6875,-8.125,-4.01953125,-10.7578125,-12.40625,-13.3515625,-13.578125,-10.9765625,-8.9453125,-11.0703125,-9.390625,-7.921875,-4.1171875,-10.9453125,-12.765625,-13.9375,-13.59375,-11.25,-8.953125,-11.640625,-9.390625,-7.61328125,-4.27734375,-11.4609375,-12.953125,-14.0078125,-14.1328125,-11.2109375,-8.7421875,-12.4375,-9.09375
3,-6.10546875,-6.16796875,-8.5546875,-5.16015625,-9.25,-10.6015625,-7.11328125,-9.1796875,-10.3359375,-9.4453125,-5.44921875,-5.60546875,-7.36328125,-5.79296875,-8.640625,-8.4453125,-6.41796875,-8.71875,-9.09375,-7.890625,-5.0546875,-4.1640625,-6.828125,-6.8984375,-8.0234375,-7.46484375,-5.7578125,-6.4375,-8.1796875,-7.515625,-6.0625,-4.0078125,-8.2734375,-9.7890625,-10.40625,-9.1328125,-8.015625,-7.046875,-9.09375,-8.140625,-5.3984375,-2.828125,-7.8515625,-9.46875,-10.75,-9.421875,-8.6796875,-6.328125,-8.7890625,-7.4765625,-4.3984375,-2.3828125,-7.46875,-8.984375,-10.640625,-8.796875,-8.453125,-6.703125,-9.0,-7.5625
4,-5.53515625,-5.48046875,-7.68359375,-4.48828125,-8.9140625,-10.34375,-6.69921875,-8.7734375,-9.5546875,-9.1171875,-8.015625,-3.9921875,-9.5390625,-11.7109375,-12.265625,-11.859375,-10.5,-8.203125,-10.1875,-8.4921875,-7.26171875,-3.73046875,-9.34375,-11.0546875,-11.6328125,-11.5234375,-9.6953125,-6.97265625,-10.65625,-9.0078125,-6.625,-3.412109375,-9.2109375,-10.9921875,-11.9921875,-11.2265625,-10.0859375,-7.4296875,-10.484375,-8.4296875,-6.18359375,-2.94921875,-8.78125,-10.8359375,-12.1796875,-10.46875,-10.0078125,-7.19921875,-10.0859375,-8.015625,-5.9921875,-3.5,-9.78125,-9.90625,-12.21875,-10.8984375,-10.671875,-7.640625,-11.015625,-8.4375
5,-5.34375,-5.5078125,-8.1953125,-4.59375,-8.9140625,-9.859375,-6.484375,-8.5390625,-9.8359375,-8.734375,-6.74609375,-2.94140625,-7.45703125,-9.1328125,-9.796875,-8.5703125,-8.15625,-7.68359375,-8.34375,-7.77734375,-7.40625,-3.8984375,-10.484375,-11.84375,-12.8671875,-11.8125,-10.1484375,-7.3671875,-10.96875,-8.4375,-7.62890625,-4.09765625,-10.234375,-11.515625,-11.7890625,-12.4140625,-10.0390625,-7.29296875,-10.4453125,-8.6796875,-7.49609375,-4.38671875,-9.9140625,-11.1875,-11.953125,-12.484375,-9.78125,-7.28515625,-10.3515625,-8.2265625,-6.70703125,-3.869140625,-10.078125,-11.2890625,-12.09375,-12.28125,-9.4375,-7.27734375,-11.046875,-8.40625
6,-6.44140625,-6.41796875,-9.265625,-6.00390625,-9.6015625,-12.28125,-7.98828125,-10.5390625,-10.9296875,-10.6796875,-6.15234375,-4.70703125,-8.15625,-9.8984375,-11.125,-10.6796875,-9.53125,-10.1015625,-8.53125,-8.8203125,-7.3046875,-4.7109375,-11.265625,-13.5703125,-14.53125,-13.6015625,-11.53125,-9.3203125,-12.125,-9.140625,-6.9609375,-3.939453125,-9.859375,-12.484375,-12.953125,-12.0,-10.5859375,-8.3671875,-10.78125,-8.5234375,-6.890625,-3.791015625,-9.65625,-12.4375,-13.3125,-11.7890625,-10.7578125,-8.5859375,-10.6640625,-8.4765625,-7.21484375,-4.24609375,-10.3671875,-13.265625,-13.25,-12.3984375,-11.2421875,-8.96875,-11.375,-9.15625
7,-7.2578125,-7.0625,-9.5,-6.171875,-9.6328125,-12.09375,-8.015625,-10.0703125,-11.296875,-9.6328125,-6.78125,-3.935546875,-7.1875,-8.8359375,-8.890625,-9.109375,-7.515625,-8.328125,-8.6015625,-7.8828125,-6.72265625,-3.224609375,-9.390625,-11.7109375,-12.671875,-11.0546875,-10.328125,-7.41796875,-10.6796875,-8.1953125,-6.19921875,-2.80859375,-8.96875,-11.4296875,-12.359375,-10.7421875,-10.109375,-7.23828125,-10.4140625,-8.1328125,-6.5546875,-3.265625,-9.2578125,-11.1953125,-11.921875,-11.2421875,-9.65625,-7.2421875,-10.421875,-8.3984375,-6.08984375,-3.10546875,-9.5,-11.3203125,-12.0703125,-11.0,-9.8515625,-7.05859375,-10.9296875,-8.1953125
8,-6.28125,-6.1328125,-8.7421875,-5.125,-9.46875,-11.265625,-7.6171875,-9.1171875,-10.703125,-9.359375,-5.0625,-2.255859375,-6.2578125,-7.953125,-9.0078125,-6.3515625,-8.2109375,-6.2890625,-7.8828125,-7.625,-6.81640625,-2.98828125,-9.390625,-10.8203125,-11.984375,-11.8203125,-9.546875,-7.16015625,-10.2734375,-8.171875,-6.671875,-2.775390625,-8.9453125,-10.640625,-11.796875,-10.5390625,-9.8984375,-7.21875,-9.78125,-8.1953125,-5.84765625,-2.33203125,-8.5859375,-10.2578125,-11.9921875,-10.2421875,-9.96875,-7.14453125,-9.484375,-8.0,-6.51953125,-3.00390625,-9.296875,-10.734375,-11.859375,-11.25,-9.9765625,-7.34765625,-10.265625,-7.96875
9,-6.109375,-6.328125,-8.5,-5.375,-9.0078125,-10.5546875,-7.53125,-8.8984375,-9.90625,-8.8515625,-6.21484375,-3.19140625,-7.47265625,-9.3671875,-10.3671875,-7.9453125,-8.59375,-7.05859375,-8.640625,-7.89453125,-6.171875,-2.890625,-8.578125,-11.0625,-12.109375,-10.1015625,-9.609375,-7.6484375,-9.40625,-8.0703125,-6.375,-2.880859375,-8.46875,-11.2109375,-12.2578125,-9.515625,-10.046875,-7.7578125,-9.390625,-8.078125,-5.69921875,-2.44921875,-7.73828125,-10.453125,-11.3671875,-8.75,-9.3984375,-7.41796875,-8.7421875,-7.63671875,-5.66015625,-3.517578125,-7.75390625,-10.3359375,-10.8671875,-8.359375,-9.3203125,-7.72265625,-7.95703125,-7.79296875
