,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-6.21875,-5.3515625,-8.0390625,-5.9453125,-9.609375,-10.3515625,-7.296875,-9.921875,-10.609375,-10.5234375,-6.99609375,-3.37109375,-9.046875,-12.515625,-13.703125,-12.3046875,-11.0,-10.0703125,-10.8984375,-8.2421875,-7.4609375,-4.2265625,-9.5078125,-13.171875,-14.3203125,-12.671875,-11.953125,-10.671875,-11.2421875,-8.6171875,-6.41015625,-3.525390625,-8.5,-11.1953125,-11.7109375,-11.203125,-10.03125,-7.93359375,-10.0546875,-7.96875,-5.390625,-2.474609375,-8.203125,-10.6328125,-11.7265625,-10.5390625,-9.859375,-7.61328125,-10.0390625,-8.0546875,-6.45703125,-3.85546875,-10.0703125,-12.359375,-13.4375,-12.7890625,-11.140625,-8.96875,-11.1640625,-8.7421875
1,-5.9375,-5.109375,-7.7890625,-5.7890625,-9.109375,-10.375,-7.1796875,-9.5625,-10.203125,-9.8671875,-5.5078125,-4.0234375,-7.3671875,-7.765625,-9.4140625,-8.578125,-8.046875,-9.3515625,-9.453125,-9.8203125,-6.04296875,-3.01171875,-8.7578125,-10.609375,-12.4921875,-11.171875,-9.671875,-7.02734375,-10.9375,-8.140625,-5.84375,-2.943359375,-8.875,-10.8203125,-12.4296875,-11.34375,-9.7421875,-7.234375,-11.1875,-8.21875,-5.46484375,-2.39453125,-8.3203125,-10.515625,-11.96875,-10.71875,-9.40625,-6.84765625,-10.71875,-7.84375,-6.63671875,-3.75390625,-9.78125,-11.1015625,-12.9453125,-12.328125,-10.0859375,-7.76953125,-11.4140625,-7.83984375
2,-4.45703125,-3.89453125,-6.66796875,-4.48046875,-7.91015625,-9.1953125,-6.06640625,-8.21875,-9.4453125,-8.7890625,-4.08984375,-1.771484375,-6.44921875,-7.76171875,-8.65625,-8.171875,-6.34765625,-5.85546875,-7.58203125,-7.69921875,-7.73046875,-4.49609375,-9.9609375,-12.5078125,-12.640625,-12.984375,-10.15625,-8.65625,-11.3125,-8.4453125,-5.984375,-3.255859375,-8.4453125,-10.4375,-10.90625,-10.09375,-9.1171875,-6.7265625,-9.6484375,-7.8046875,-5.859375,-3.0390625,-8.890625,-10.6484375,-11.4140625,-10.375,-9.34375,-6.78125,-10.2578125,-7.97265625,-6.34375,-3.248046875,-10.015625,-11.9921875,-12.7578125,-12.015625,-10.0234375,-7.4375,-11.4375,-8.5078125
3,-4.20703125,-3.98828125,-6.43359375,-4.28515625,-7.83984375,-9.328125,-5.51953125,-7.89453125,-8.9375,-8.59375,-7.0,-4.8671875,-6.875,-7.8828125,-8.859375,-9.875,-7.40625,-9.9609375,-8.8984375,-9.5,-6.33984375,-3.306640625,-9.796875,-12.15625,-12.84375,-12.4140625,-10.6875,-8.0859375,-11.6640625,-8.7421875,-6.234375,-3.125,-9.5703125,-12.015625,-12.6875,-12.1484375,-10.6171875,-8.0390625,-11.4375,-8.640625,-6.234375,-3.125,-9.5703125,-12.015625,-12.6875,-12.1484375,-10.6171875,-8.0390625,-11.4375,-8.640625,-6.5234375,-3.576171875,-10.3515625,-12.4765625,-13.3203125,-12.5859375,-11.0,-8.3203125,-11.6875,-8.6484375
4,-4.66015625,-4.23046875,-6.98828125,-4.34765625,-8.2578125,-8.5625,-5.66796875,-8.421875,-9.2421875,-9.2265625,-4.81640625,-3.384765625,-6.17578125,-7.76953125,-9.0625,-7.8125,-7.55078125,-7.12109375,-8.15625,-7.828125,-6.99609375,-3.48828125,-9.7109375,-12.5546875,-13.21875,-13.015625,-10.828125,-8.296875,-11.21875,-8.828125,-6.9375,-3.8515625,-9.671875,-11.453125,-12.1171875,-11.859375,-9.75,-7.4921875,-10.734375,-8.8203125,-6.48046875,-3.431640625,-9.3671875,-11.171875,-11.8671875,-11.5703125,-9.6015625,-7.08203125,-10.5390625,-8.5234375,-6.78515625,-3.64453125,-10.1875,-11.9765625,-12.8125,-12.3671875,-10.296875,-7.75390625,-11.34375,-8.7890625
5,-5.25390625,-4.82421875,-8.046875,-5.29296875,-9.421875,-10.546875,-6.69140625,-9.1640625,-10.6015625,-10.046875,-7.375,-4.0703125,-9.3125,-11.1796875,-12.3984375,-12.84375,-9.796875,-9.515625,-9.46875,-8.765625,-7.60546875,-3.927734375,-10.2109375,-12.4921875,-13.390625,-13.1640625,-10.90625,-8.9140625,-11.6328125,-9.296875,-7.60546875,-3.927734375,-10.2109375,-12.4921875,-13.390625,-13.1640625,-10.90625,-8.9140625,-11.6328125,-9.296875,-7.64453125,-3.931640625,-10.265625,-12.5625,-13.46875,-13.59375,-10.8515625,-8.609375,-11.34375,-9.0078125,-5.9296875,-3.400390625,-8.703125,-10.5546875,-11.921875,-10.59375,-9.6015625,-7.59375,-9.6015625,-7.14453125
6,-5.51171875,-4.90234375,-7.58203125,-5.33984375,-9.203125,-9.640625,-6.97265625,-9.0390625,-10.0234375,-9.5390625,-5.4765625,-4.1875,-6.671875,-6.1015625,-8.4765625,-8.3046875,-7.4296875,-8.1640625,-8.9453125,-9.1640625,-7.2578125,-4.046875,-9.734375,-11.1328125,-10.7265625,-12.328125,-9.640625,-7.2421875,-10.2578125,-9.1171875,-6.54296875,-3.61328125,-9.6328125,-10.796875,-11.1796875,-12.046875,-9.5234375,-6.88671875,-10.34375,-8.5390625,-7.3828125,-4.1953125,-10.4375,-11.1171875,-12.046875,-12.328125,-10.1171875,-7.21875,-10.7578125,-8.921875,-7.54296875,-4.19140625,-10.59375,-11.4453125,-12.140625,-12.8671875,-10.1328125,-7.66015625,-11.578125,-9.328125
7,-5.8515625,-4.921875,-8.015625,-5.75,-9.6015625,-10.4609375,-7.3125,-9.2890625,-10.515625,-10.0078125,-6.3671875,-5.3671875,-7.859375,-6.046875,-9.7734375,-10.15625,-8.125,-9.3125,-11.109375,-9.78125,-3.681640625,-4.234375,-8.171875,-5.3359375,-11.0859375,-9.3359375,-7.4453125,-8.6171875,-10.390625,-8.8515625,-2.544921875,-2.154296875,-5.640625,-7.2578125,-9.171875,-6.6328125,-6.1484375,-7.125,-7.703125,-7.640625,-7.4375,-4.2109375,-10.046875,-12.703125,-13.0078125,-13.109375,-10.7578125,-8.2734375,-11.265625,-8.5234375,-7.2109375,-4.234375,-10.15625,-12.1796875,-12.34375,-12.4296875,-10.359375,-8.140625,-11.28125,-8.859375
8,-5.56640625,-4.73046875,-7.35546875,-5.21484375,-8.4921875,-10.2109375,-6.22265625,-9.078125,-9.8359375,-9.3046875,-8.25,-4.01953125,-9.8984375,-11.90625,-11.2578125,-12.2109375,-9.5859375,-8.640625,-10.109375,-8.828125,-6.953125,-3.826171875,-10.4453125,-11.671875,-12.609375,-12.5625,-10.21875,-7.109375,-11.2890625,-8.890625,-5.69140625,-3.49609375,-8.140625,-9.9765625,-10.921875,-9.515625,-8.8359375,-6.36328125,-8.90625,-7.31640625,-5.7890625,-3.150390625,-9.1015625,-10.71875,-12.0546875,-10.9296875,-9.625,-6.7890625,-10.359375,-7.79296875,-6.2109375,-3.517578125,-10.09375,-11.7734375,-13.0390625,-12.046875,-10.21875,-7.1796875,-11.59375,-8.078125
9,-5.6015625,-4.921875,-7.6640625,-5.828125,-8.7421875,-10.0703125,-6.578125,-8.9453125,-9.7578125,-9.671875,-6.09765625,-3.65234375,-7.28515625,-9.40625,-9.375,-8.09375,-7.54296875,-7.62890625,-8.6796875,-8.0546875,-6.43359375,-3.51953125,-9.796875,-11.3515625,-12.2109375,-12.3125,-9.7734375,-7.01953125,-10.90625,-8.6328125,-6.24609375,-3.36328125,-9.3828125,-10.734375,-11.4921875,-11.96875,-9.328125,-6.70703125,-10.1328125,-8.3046875,-5.88671875,-3.123046875,-9.2890625,-10.625,-11.703125,-11.3828125,-9.4375,-6.82421875,-10.34375,-8.3828125,-7.1796875,-4.2578125,-10.4140625,-11.8984375,-12.8984375,-12.2421875,-10.421875,-8.0390625,-11.4140625,-8.609375
