,panda,sea turtle,koala,peacock,lion,dolphin,octopus,snow leopard,quokka,sea otter,honeybee,elephant,kangaroo,penguin,giraffe,orangutan,chimpanzee
0,-5.379356861114502,-7.8713812828063965,-4.721343040466309,-7.889077663421631,-5.235219478607178,-5.289182186126709,-1.7822836637496948,-7.342149257659912,-6.214413642883301,-9.572802543640137,-8.031933784484863,-4.8431477546691895,-5.632582187652588,-6.945084095001221,-7.82772970199585,-7.640788555145264,-6.307941436767578
1,-6.213788986206055,-8.061027526855469,-6.351728916168213,-7.223318099975586,-3.4617254734039307,-3.025678873062134,-1.613900065422058,-6.095664024353027,-7.504395961761475,-7.046737194061279,-8.578783988952637,-3.936363458633423,-6.3768744468688965,-5.407440185546875,-6.4917192459106445,-6.178506851196289,-5.213385105133057
2,-7.053058624267578,-9.192946434020996,-5.858426094055176,-7.188491344451904,-5.044573783874512,-2.587255477905273,-1.0878214836120603,-6.110637664794922,-7.505202293395996,-7.693365097045898,-8.432332992553711,-4.662583351135254,-5.208590984344482,-6.2937493324279785,-5.496145248413086,-7.22282600402832,-6.518266201019287
3,-6.041532516479492,-8.652510643005371,-5.839395999908447,-7.623730659484863,-3.47940444946289,-1.7949684858322144,-2.0318782329559326,-6.456984519958496,-7.785191535949707,-7.221383571624756,-8.131945610046387,-4.369022369384766,-6.003907203674316,-6.738704681396484,-5.693329811096191,-7.070883274078369,-5.0737738609313965
4,-7.136131286621094,-8.006953239440918,-6.074375152587891,-6.056264877319336,-3.8968505859375,-3.098832130432129,-1.1127349138259888,-6.420905113220215,-5.688694953918457,-7.5633134841918945,-9.330307006835938,-4.751630783081055,-6.330463409423828,-6.17931079864502,-5.113827705383301,-7.010846614837647,-6.553054332733154
5,-6.562366485595703,-9.342290878295898,-6.431325912475586,-6.815737724304199,-3.481083869934082,-2.43381404876709,-1.775825023651123,-5.668558120727539,-5.486319541931152,-7.52347469329834,-9.984271049499512,-4.150856971740723,-6.07975959777832,-5.888506412506104,-4.922945022583008,-7.226495265960693,-6.144682884216309
6,-8.118888854980469,-10.88270378112793,-7.299190044403076,-7.11082649230957,-2.9446706771850586,-2.6866674423217773,-1.0144875049591064,-4.810520648956299,-9.236329078674316,-7.995436668395996,-8.679801940917969,-4.721713066101074,-6.435495853424072,-6.980251312255859,-6.295332431793213,-7.218413352966309,-5.120413780212402
7,-10.662590026855469,-9.409189224243164,-11.422865867614746,-8.847548484802246,-3.3670589923858643,-5.6226959228515625,-1.7144391536712646,-6.116863250732422,-12.699602127075195,-9.206974029541016,-10.950451850891112,-6.879813194274902,-12.822420120239258,-8.800575256347656,-11.692479133605955,-10.460118293762209,-6.974060535430908
8,-9.665249824523926,-12.618243217468262,-10.658750534057615,-10.110323905944824,-5.847960472106934,-4.503758430480957,-0.244825854897499,-7.359692096710205,-11.262879371643066,-9.06150245666504,-11.681848526000977,-7.904998779296875,-10.73192024230957,-8.31778621673584,-10.780756950378418,-9.756606101989746,-8.035114288330078
9,-7.16699743270874,-10.58216667175293,-7.167784690856934,-6.627347946166992,-3.769067287445069,-3.202178478240967,-3.8760793209075928,-5.293087482452393,-10.140230178833008,-7.533677577972412,-10.256099700927734,-6.399161815643311,-7.928405284881592,-6.106766700744629,-8.566431045532227,-6.75560474395752,-3.147395133972168
10,-7.761080265045166,-11.535959243774414,-8.78531265258789,-10.175850868225098,-5.070372104644775,-3.9485726356506334,-0.6034393906593323,-8.052889823913574,-8.923087120056152,-9.282989501953123,-10.441713333129885,-5.718350887298584,-7.263569355010986,-7.525607109069824,-7.390414237976074,-9.251258850097656,-6.195695877075195
11,-9.355694770812988,-11.205643653869627,-8.55946159362793,-8.369426727294922,-3.471795082092285,-2.81965446472168,-1.0885363817214966,-9.123510360717772,-7.649676322937012,-8.817475318908691,-9.857308387756348,-3.3979616165161133,-6.748982906341553,-8.161091804504395,-5.70610237121582,-7.662500381469727,-6.554062366485596
