,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
1,-5.845621585845947,-8.522297859191895,-7.163760662078857,-7.007775783538818,-6.507241725921631,-7.586127281188965
3,-6.290632724761963,-7.749261856079102,-8.34657096862793,-6.0914740562438965,-6.123136043548584,-6.497970581054688
8,-7.727731704711914,-8.974109649658203,-9.16578769683838,-7.4171462059021,-7.196458339691162,-7.488519191741943
2,-5.630331993103027,-7.37047815322876,-6.838888168334961,-7.212662220001221,-7.2592997550964355,-7.2888994216918945
14,-6.274405956268311,-7.601324558258057,-7.782600879669189,-7.876246929168701,-8.171760559082031,-7.789324760437012
12,-5.669010639190674,-7.846661567687988,-7.195950984954834,-7.5432868003845215,-7.146254539489746,-6.604314804077148
21,-8.02820110321045,-9.110613822937012,-7.213291645050049,-6.838907241821289,-7.096133232116699,-7.083536624908447
23,-6.280427932739258,-7.590005874633789,-6.713772296905518,-6.668848991394043,-6.786885738372803,-6.723899364471436
9,-6.419309139251709,-6.823408603668213,-6.826062202453613,-7.129889965057373,-7.047474384307861,-7.295258522033691
0,-7.109283924102783,-7.706225395202637,-6.8822760581970215,-7.211027145385742,-7.178431987762451,-6.928897857666016
10,-7.3991851806640625,-6.772964477539063,-7.299809455871582,-7.388463497161865,-6.99623966217041,-7.2334065437316895
17,-6.742173671722412,-6.332841396331787,-7.68211555480957,-7.533550262451172,-7.3643670082092285,-7.34619665145874
11,-5.873399257659912,-7.768084049224853,-7.117781162261963,-6.796427249908447,-6.712949752807617,-6.819095134735107
18,-8.02387523651123,-9.789311408996582,-9.423514366149902,-9.013726234436035,-9.116642951965332,-8.394028663635254
19,-5.591064453125,-6.985389232635498,-8.169265747070312,-7.59632682800293,-7.434471607208252,-8.069148063659668
16,-6.149909973144531,-7.453658580780029,-6.760619640350342,-6.886604309082031,-6.93513822555542,-6.618356227874756
4,-7.262985706329346,-7.010562896728516,-7.403156757354736,-7.542226791381836,-7.266940593719482,-6.752934455871582
20,-6.56972074508667,-7.719582557678223,-7.693422794342041,-6.876824855804443,-7.359907627105713,-7.494913101196289
5,-6.151025295257568,-9.219574928283691,-6.856688499450684,-7.464827060699463,-7.392942905426025,-8.267045021057129
13,-6.377033233642578,-8.635626792907715,-6.779080867767334,-7.24915075302124,-7.084326267242432,-7.2530646324157715
6,-6.902759552001953,-6.4901123046875,-5.536646366119385,-7.826588630676269,-6.10481595993042,-6.946796417236328
