,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.061513900756836,-8.161478042602539,-8.473036766052246,-8.227192878723145,-7.789668560028076,-7.590396881103516
1,-5.156846523284912,-6.958316802978516,-7.484028339385986,-6.485755443572998,-6.828715801239014,-6.966792583465576
2,-5.254412651062012,-7.060983180999756,-7.053736209869385,-6.733157157897949,-6.194823265075684,-6.457864284515381
4,-4.604583740234375,-6.94878625869751,-6.934770584106445,-7.270818710327148,-6.806731700897217,-7.776454448699951
3,-5.826512336730957,-8.117236137390137,-7.154998302459717,-6.798531532287598,-6.76630973815918,-6.970853328704834
5,-6.159832000732422,-5.919276237487793,-5.57213306427002,-6.496045112609863,-7.507322788238525,-6.919413089752197
7,-6.032154560089111,-7.355436325073242,-7.150693893432617,-7.089293003082275,-7.246884822845459,-7.803900718688965
6,-5.6587090492248535,-6.404801368713379,-6.470087051391602,-6.6820902824401855,-6.812424182891846,-6.755974769592285
8,-5.129438400268555,-6.137544631958008,-7.120652675628662,-7.17233943939209,-7.5196533203125,-7.338006019592285
15,-4.172216892242432,-5.827716827392578,-8.343317985534668,-7.924909591674805,-8.05099105834961,-8.306255340576172
9,-5.540837287902832,-7.403348922729492,-7.565810203552246,-6.435024738311768,-6.646243095397949,-6.906491756439209
14,-4.9842634201049805,-6.321953296661377,-7.188511371612549,-7.199495315551758,-6.410281658172607,-6.962510108947754
10,-6.333883762359619,-8.722440719604492,-7.816595077514648,-6.940706253051758,-6.671031475067139,-7.1114277839660645
12,-4.8376078605651855,-6.46275520324707,-6.467994213104248,-6.997631072998047,-6.997631072998047,-6.901342868804932
11,-4.800486087799072,-5.732970714569092,-7.296049118041992,-7.569379806518555,-6.352400779724121,-7.403260231018066
13,-4.878086090087891,-7.575182914733887,-7.08510684967041,-6.846702575683594,-6.874790668487549,-7.109475612640381
16,-5.229416847229004,-8.49911880493164,-6.9114484786987305,-7.560987949371338,-6.966211318969727,-7.49582052230835
17,-5.702476501464844,-6.910201072692871,-8.288250923156738,-7.68992805480957,-7.136070251464844,-8.35058879852295
18,-6.086674690246582,-6.903591632843018,-7.400623798370361,-6.993966102600098,-7.3808274269104,-8.141530990600586
19,-6.2502851486206055,-5.446976661682129,-6.827033042907715,-6.928007125854492,-6.735779285430908,-7.264439582824707
