,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-1.643014907836914,-3.0143609046936035,-4.113511562347412,-3.268230676651001,-3.004634380340576,-3.3856475353240967
1,-1.4137046337127686,-2.1644182205200195,-3.4567909240722656,-3.3944509029388428,-3.229199171066284,-3.6798269748687744
2,-2.631277561187744,-5.028191089630127,-3.147397994995117,-1.569892168045044,-1.7417988777160645,-2.025089740753174
4,-1.9709627628326416,-0.9788761138916016,-1.4528874158859253,-4.1384453773498535,-3.739327192306519,-3.764310836791992
3,-1.7057209014892578,-2.775375366210937,-2.904607057571411,-3.1544394493103027,-3.3362905979156494,-3.535604238510132
5,-2.6926968097686768,-1.2440621852874756,-2.56575345993042,-2.2506206035614014,-2.1200904846191406,-2.4434974193573
7,-2.049382209777832,-3.757071256637573,-3.0210745334625244,-4.011708736419678,-3.350526094436645,-5.017022609710693
6,-2.2114858627319336,-1.833035230636597,-1.9120240211486816,-2.901766300201416,-2.9546093940734863,-3.4695513248443604
8,-1.5961564779281616,-4.43318510055542,-1.0776896476745603,-2.4553444385528564,-2.228947401046753,-2.596364974975586
15,-1.2061316967010498,-0.8774136900901794,-1.414433479309082,-4.165672779083252,-4.104853630065918,-4.144717693328857
9,-1.4910030364990234,-1.1864632368087769,-1.2778773307800293,-2.1024622917175293,-2.27431058883667,-2.6807310581207275
14,-1.62316632270813,-4.7012858390808105,-2.313697338104248,-2.790354490280152,-2.502063274383545,-3.584210157394409
10,-2.503365993499756,-2.83858585357666,-2.8351922035217285,-2.633049726486206,-2.4332714080810547,-2.477372646331787
12,-1.7725789546966553,-3.149359703063965,-2.8305037021636963,-2.068809986114502,-2.8115177154541016,-3.10613226890564
11,-3.327192783355713,-2.883455991744995,-2.643697738647461,-2.695293664932251,-2.541978120803833,-2.2540359497070312
13,-2.143242359161377,-3.607242107391357,-3.2284834384918213,-2.464995145797729,-3.7642934322357178,-3.899148941040039
16,-2.1513218879699707,-2.815956115722656,-1.78413987159729,-3.237138271331787,-2.75921630859375,-2.911874294281006
17,-2.439440965652466,-3.392322301864624,-3.172771453857422,-3.398164987564087,-3.276280879974365,-2.872014045715332
18,-2.5093140602111816,-2.594944477081299,-2.774740934371948,-3.1159586906433105,-3.447740077972412,-3.446368932723999
19,-2.176185607910156,-2.497421979904175,-3.03716254234314,-2.684490442276001,-3.2282114028930664,-2.9895918369293213
