,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
1,-2.744898796081543,-3.5598807334899902,-3.7068066596984863,-3.854212284088135,-3.034759283065796,-3.2796225547790527
3,-3.751420974731445,-2.281078338623047,-2.9181973934173584,-2.4192981719970703,-2.567164897918701,-2.8382370471954346
8,-3.3926749229431152,-4.024760723114014,-3.7438888549804688,-3.967852115631104,-4.847642421722412,-5.575883865356445
2,-3.4372472763061523,-2.652933120727539,-3.886457920074463,-3.330064296722412,-3.5012524127960205,-3.605859756469727
14,-3.0590145587921143,-2.808748722076416,-2.3946533203125,-3.4915616512298584,-3.1350619792938232,-3.343151330947876
12,-3.0458669662475586,-3.691780805587769,-3.400473356246948,-4.161362648010254,-3.6981875896453857,-3.974733352661133
21,-4.005394458770752,-3.3086066246032715,-3.4244985580444336,-2.565100908279419,-2.696974515914917,-2.9170405864715576
23,-4.183348178863525,-5.156233787536621,-5.83193302154541,-4.892876148223877,-3.71229887008667,-4.347943305969238
9,-3.245670318603516,-3.814290046691896,-3.2745347023010254,-2.8313238620758057,-2.524791955947876,-3.3612539768218994
11,-3.13533902168274,-3.7779793739318848,-3.4109110832214355,-3.670710802078247,-3.477959156036377,-3.635742425918579
10,-3.108848810195923,-2.534050941467285,-3.712401628494263,-3.8891005516052246,-3.746749877929688,-3.6492769718170166
20,-3.849684953689575,-3.6633808612823486,-4.398746967315674,-3.658587694168091,-2.7510011196136475,-3.580930709838867
0,-5.010593414306641,-7.913184642791748,-4.2216973304748535,-4.869025230407715,-3.948347330093384,-3.950198173522949
5,-4.246402740478516,-3.580984354019165,-3.1773905754089355,-3.721638202667236,-3.10532808303833,-4.090386390686035
6,-2.960291862487793,-2.248208522796631,-3.5604171752929688,-3.7406511306762695,-4.034562110900879,-4.492880821228027
17,-2.9298031330108643,-4.084084510803223,-3.516489267349243,-3.842250347137451,-3.9734487533569336,-3.677931547164917
18,-5.131735324859619,-2.1635046005249023,-3.0308752059936523,-3.2769806385040283,-4.066485404968262,-4.021237850189209
19,-2.86016058921814,-3.6041295528411865,-2.557218551635742,-2.6016058921813965,-3.062552690505981,-3.588372230529785
16,-3.236123561859131,-4.06150484085083,-4.976840019226074,-4.956124305725098,-4.380748748779297,-4.567945957183838
4,-3.078761577606201,-4.390538692474365,-3.1851108074188232,-3.1358327865600586,-3.4548263549804688,-3.860974311828613
13,-3.837692975997925,-5.437813758850098,-3.000941038131714,-4.2949628829956055,-3.6960511207580566,-4.1322784423828125
