,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-3.748696804046631,-4.065507888793945,-5.872696876525879,-6.412336349487305,-6.396189689636231,-5.807601451873779
1,-2.9667224884033203,-5.443937301635742,-6.672033786773682,-5.940043449401856,-5.860698699951172,-6.282496452331543
2,-2.872602939605713,-6.883962631225586,-6.59895658493042,-6.9414777755737305,-6.127787113189697,-6.771162986755371
4,-2.9593160152435303,-6.504595756530762,-6.273434162139893,-5.489834785461426,-5.463507652282715,-5.986478805541992
3,-2.4919209480285645,-6.323286056518555,-4.8940863609313965,-5.0405449867248535,-5.695387363433838,-6.57714319229126
5,-2.716357707977295,-6.218497276306152,-5.964677810668945,-6.629635334014893,-6.005890846252441,-6.332632541656494
7,-3.2755558490753174,-4.515833377838135,-6.269486904144287,-5.30509614944458,-5.645030498504639,-6.0709428787231445
6,-3.801090717315674,-6.871793746948242,-6.197237491607666,-5.520017623901367,-5.331338882446289,-6.491397857666016
8,-3.4813995361328125,-3.421056032180786,-6.021485805511475,-5.931276321411133,-6.208386421203613,-6.567221641540527
15,-3.100541591644287,-6.051060676574707,-5.792662143707275,-5.993593215942383,-5.587813854217529,-6.135287284851074
9,-3.2094666957855225,-3.756989479064941,-4.208156585693359,-5.602728843688965,-6.592851638793945,-7.0711669921875
14,-2.9891960620880127,-4.229557037353516,-5.864416122436523,-5.149975299835205,-5.214310169219971,-6.505812644958496
10,-3.4118692874908447,-4.743068695068359,-7.776390552520752,-5.571253299713135,-5.949058532714844,-6.378627300262451
12,-4.634549617767334,-6.021981716156006,-5.51881217956543,-5.51195764541626,-5.607203006744385,-6.4904866218566895
11,-3.229548931121826,-5.839578628540039,-5.912055492401123,-5.801278591156006,-5.803623676300049,-6.7754621505737305
13,-4.8707146644592285,-5.39655065536499,-6.268868446350098,-7.867748737335205,-6.122313499450684,-6.535062789916992
16,-3.3287243843078613,-6.154585361480713,-5.916549682617188,-6.459751129150391,-5.442338466644287,-5.925014972686768
17,-2.8322112560272217,-4.545224666595459,-5.089798927307129,-6.246768951416016,-6.253766059875488,-6.076618194580078
18,-4.4796977043151855,-3.106107234954834,-4.565793037414551,-6.145327568054199,-5.6058454513549805,-7.420462608337402
19,-3.060662269592285,-4.119101524353027,-6.017191886901856,-6.017620086669922,-6.3950910568237305,-6.158241271972656
