,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
1,-2.9184699058532715,-7.916650295257568,-6.150401592254639,-5.706069946289063,-5.603756427764893,-5.755664348602295
3,-3.4825234413146973,-7.410859107971191,-6.815684795379639,-6.499000072479248,-6.484302997589111,-6.354316711425781
8,-3.9593698978424072,-7.560293197631836,-7.147416114807129,-8.200803756713867,-7.097157955169678,-7.284859657287598
2,-3.865652084350586,-3.075819969177246,-5.672239780426025,-5.114890575408936,-5.301927089691162,-4.803093910217285
14,-3.230286836624145,-6.127749443054199,-5.8372907638549805,-6.250087738037109,-5.884868621826172,-5.476749420166016
12,-5.090629577636719,-7.299422740936279,-6.703927040100098,-8.619322776794434,-7.410331249237059,-7.0805487632751465
21,-5.0840373039245605,-7.276049613952637,-6.108932971954346,-6.508803367614746,-5.849120616912842,-6.256245136260986
23,-4.438377857208252,-6.997437477111816,-6.833323001861572,-6.466484069824219,-6.400420665740967,-5.961227893829346
9,-4.317607402801514,-4.961301803588867,-6.481543064117432,-6.469583034515381,-5.998307704925537,-6.035818576812744
11,-3.104378700256348,-7.802675247192383,-7.362630367279053,-7.565202713012695,-7.280425548553467,-6.709089279174805
10,-4.739111423492432,-7.354349136352539,-7.149393081665039,-7.124085903167725,-7.418619155883789,-7.119394302368164
20,-3.08645248413086,-3.579609632492065,-6.676874160766602,-6.204607009887695,-5.154592514038086,-6.63792610168457
0,-5.141530990600586,-7.468384742736816,-5.503942012786865,-5.291535377502441,-5.284080505371094,-5.475837230682373
17,-5.010619163513184,-2.765934705734253,-5.699970245361328,-4.627596378326416,-5.181609153747559,-5.056870460510254
18,-3.806640863418579,-7.305690288543701,-7.037087440490723,-6.231907844543457,-6.515817165374756,-6.555922031402588
19,-4.140171051025391,-7.188905715942383,-7.343881130218506,-7.011325359344482,-6.480860233306885,-5.858149528503418
16,-2.925504684448242,-7.259915351867676,-5.378720283508301,-5.48193883895874,-6.265801429748535,-6.973498344421387
4,-2.5935215950012207,-4.245972156524658,-6.909320831298828,-7.644966125488281,-7.086124897003174,-6.679548263549805
5,-3.3100481033325195,-6.866120338439941,-6.512056827545166,-6.337303638458252,-5.606995582580566,-5.971833229064941
13,-4.139212608337402,-8.40361499786377,-6.677290439605713,-6.737955093383789,-6.895567893981934,-6.736120700836182
6,-4.837237358093262,-8.070500373840332,-7.439374923706055,-6.645375728607178,-6.782901287078857,-6.719120502471924
