,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-4.649561405181885,-9.54611110687256,-8.786636352539062,-7.9984025955200195,-9.28918743133545,-8.534019470214844
1,-3.346687793731689,-10.47268009185791,-10.502470970153809,-11.52224349975586,-10.819726943969728,-9.902872085571287
2,-3.0355007648468018,-9.181462287902832,-9.615316390991213,-7.801971435546875,-9.123461723327637,-9.302953720092772
4,-2.6577670574188232,-10.66745662689209,-10.623077392578123,-9.2589693069458,-10.195767402648926,-9.22324275970459
3,-2.8072640895843506,-4.107336044311523,-8.868192672729492,-9.42288589477539,-9.380748748779297,-9.337260246276855
5,-2.523751974105835,-8.900957107543945,-9.318464279174805,-9.525697708129885,-9.197357177734377,-9.301490783691406
7,-3.1010773181915283,-10.712750434875488,-10.54762077331543,-11.124763488769531,-10.13459300994873,-10.538673400878906
6,-4.751445770263672,-9.26403522491455,-8.603394508361816,-8.973362922668457,-9.403860092163086,-10.008917808532717
8,-3.744321584701538,-2.488093376159668,-9.271035194396973,-8.952543258666992,-9.396370887756348,-9.759799003601074
15,-3.514875888824463,-9.56750774383545,-10.069387435913086,-8.81053638458252,-9.334649085998535,-10.031538963317873
9,-3.378224849700928,-6.585074424743652,-10.595681190490724,-10.129389762878418,-10.129389762878418,-10.364961624145508
14,-2.88143253326416,-9.14487075805664,-9.611368179321287,-8.744338035583496,-9.537447929382324,-8.665764808654785
10,-3.301421642303467,-9.21962833404541,-9.783329963684082,-8.403329849243164,-9.900710105895996,-8.555188179016113
12,-3.1159043312072754,-8.595624923706055,-9.222064018249512,-10.211429595947266,-10.201550483703612,-10.020674705505373
11,-5.003973007202148,-5.636488914489746,-4.603982448577881,-8.187304496765137,-8.743000984191895,-10.456903457641602
13,-4.238190174102783,-10.045787811279297,-10.38481616973877,-10.363836288452148,-9.272242546081545,-9.894455909729004
16,-3.3434417247772217,-9.651286125183104,-9.757651329040527,-9.666332244873049,-9.672945976257324,-9.75532054901123
17,-3.3641629219055176,-9.29056453704834,-10.852676391601562,-10.177170753479004,-10.96648406982422,-11.065991401672363
18,-4.323173522949219,-9.806595802307127,-9.885811805725098,-9.79938793182373,-9.751154899597168,-10.396588325500488
19,-3.6186771392822266,-8.678919792175293,-9.38405990600586,-9.153797149658203,-9.73151683807373,-9.024497032165527
