,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
1,-3.935356140136719,-3.0900819301605225,-7.634186744689941,-9.087244987487791,-8.47630500793457,-8.298514366149902
3,-5.464797019958496,-10.14039421081543,-9.690302848815918,-10.141027450561523,-9.90216827392578,-9.366567611694336
8,-4.566399097442627,-7.991368293762207,-9.161406517028809,-9.493020057678224,-10.067249298095703,-10.082703590393066
2,-4.674317359924316,-10.756891250610352,-10.68381404876709,-10.73265266418457,-11.69525909423828,-11.231463432312012
14,-3.374518632888794,-10.478228569030762,-9.49719524383545,-9.674394607543944,-9.624043464660645,-9.884332656860352
12,-4.998912334442139,-6.693284034729004,-3.883558988571167,-5.059290409088135,-9.200298309326172,-10.963233947753906
21,-6.436122894287109,-10.39144802093506,-9.730449676513672,-9.978699684143066,-10.046250343322754,-10.213567733764648
23,-4.069874286651611,-8.878668785095215,-10.939961433410645,-9.776710510253906,-9.922958374023438,-10.52883243560791
9,-3.3991453647613525,-3.742820024490357,-3.5709357261657715,-9.385849952697754,-9.348342895507812,-8.569395065307617
11,-5.012228965759277,-5.679694175720215,-6.748063087463379,-6.344701766967773,-7.556094646453857,-9.633748054504396
0,-4.163197994232178,-9.934534072875977,-10.335234642028809,-9.96129035949707,-9.922403335571287,-9.660305976867676
10,-3.259669065475464,-4.274163246154785,-4.71360969543457,-9.674579620361328,-10.015752792358398,-10.855281829833984
17,-4.463223934173584,-9.345906257629396,-10.17392635345459,-10.294541358947754,-10.59975814819336,-10.527649879455566
18,-6.630066871643066,-7.417212963104248,-8.462664604187012,-10.489387512207031,-10.809584617614746,-10.528508186340332
19,-3.5245676040649414,-10.647066116333008,-10.042156219482422,-8.95944881439209,-8.76230525970459,-9.591635704040527
16,-4.495693683624268,-5.806522846221924,-7.90494966506958,-10.546679496765137,-10.62827491760254,-9.57029151916504
4,-3.671889305114746,-9.936954498291016,-9.94109058380127,-9.769042015075684,-9.61441135406494,-10.310680389404297
20,-3.7276666164398193,-10.564763069152832,-9.213695526123049,-9.71626091003418,-9.772306442260742,-9.675971031188965
5,-3.570202112197876,-4.867471694946289,-10.164299011230469,-10.123563766479492,-10.220088005065918,-10.510528564453123
13,-5.302871227264404,-8.705656051635742,-10.215396881103516,-10.366971969604492,-9.768721580505373,-10.131919860839844
6,-4.647147178649902,-5.463771820068359,-8.60351848602295,-8.876035690307617,-9.124354362487791,-9.5844087600708
7,-4.6953125,-10.59375,-10.3125,-9.640625,-9.8828125,-10.078125
15,-4.875,-6.8984375,-10.3203125,-10.2265625,-9.7109375,-10.21875
