,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-6.089584827423096,-11.41994285583496,-12.460616111755373,-9.878658294677734,-12.246085166931152,-10.929832458496094
1,-5.850383758544922,-12.94362449645996,-12.24354362487793,-12.675429344177246,-10.969907760620115,-12.20799732208252
2,-6.123246669769287,-11.263761520385742,-11.603623390197754,-11.715394973754885,-11.728748321533203,-12.691494941711426
4,-5.70323371887207,-12.984736442565918,-10.917330741882324,-11.168963432312012,-11.386099815368652,-13.360307693481444
3,-6.447021484375,-7.284054279327393,-7.928806781768799,-11.16928482055664,-11.724275588989258,-12.70903205871582
5,-7.041449069976807,-10.886353492736816,-12.920161247253418,-10.598745346069336,-10.915454864501951,-12.355318069458008
7,-5.9712815284729,-6.386542320251465,-12.276354789733888,-12.268628120422363,-12.268628120422363,-12.952726364135742
6,-6.262936115264893,-5.791601181030273,-12.329503059387209,-13.082661628723145,-11.261578559875488,-12.359642028808594
8,-6.071639537811279,-7.784204959869385,-11.37744140625,-11.89728832244873,-12.130475044250488,-12.691584587097168
15,-6.401027202606201,-8.218310356140137,-12.976241111755373,-12.935262680053713,-11.34376049041748,-12.156707763671877
9,-5.610610008239746,-11.04042625427246,-12.459684371948242,-11.091012001037598,-12.094165802001951,-13.254353523254396
14,-6.195504665374756,-6.352030754089356,-11.094274520874023,-12.5491304397583,-12.656643867492676,-12.826950073242188
10,-6.897727966308594,-7.858729362487793,-12.383484840393066,-11.898387908935549,-10.588818550109863,-11.791438102722168
12,-6.624951362609863,-7.984057426452637,-6.577566623687744,-10.902003288269045,-12.996960639953612,-12.409429550170898
11,-5.935665130615234,-12.848370552062988,-13.875137329101562,-11.68472957611084,-13.039798736572266,-13.555449485778809
13,-6.619059085845947,-9.183049201965332,-12.482501029968262,-12.57431983947754,-12.598465919494627,-13.212940216064451
16,-5.860411643981934,-10.887686729431152,-12.453784942626951,-10.194786071777344,-12.053624153137209,-11.511064529418944
17,-5.741540908813477,-10.749960899353027,-12.223932266235352,-12.45345973968506,-12.60353660583496,-12.051270484924316
18,-7.571512222290039,-10.496177673339844,-12.275925636291504,-10.345874786376951,-11.656253814697266,-12.299824714660645
19,-5.8790435791015625,-11.599397659301758,-10.962462425231934,-12.170071601867676,-9.58209991455078,-10.747183799743652
