,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
1,-5.326115131378174,-7.034115314483643,-12.42349338531494,-12.776163101196287,-13.178675651550291,-11.391514778137209
3,-6.481229782104492,-9.1918306350708,-12.878811836242676,-12.011427879333496,-12.034106254577637,-10.68583869934082
8,-5.438477993011475,-7.436306476593018,-13.006063461303713,-11.50524616241455,-11.623533248901367,-12.179949760437012
2,-5.534372329711914,-5.200397968292236,-12.464803695678713,-12.795296669006348,-13.862231254577637,-12.596151351928713
14,-6.168696880340576,-10.623984336853027,-12.475729942321776,-12.298166275024414,-12.097589492797852,-12.75316047668457
12,-5.613134860992432,-10.58501148223877,-12.631746292114258,-11.683745384216309,-12.285429000854492,-12.48679542541504
21,-7.666641712188721,-12.559666633605955,-12.789368629455566,-12.16672420501709,-12.71678638458252,-11.688872337341309
23,-6.136809349060059,-7.629961490631103,-12.455001831054688,-11.670369148254396,-11.991788864135742,-12.022443771362305
9,-4.962517261505127,-11.775062561035156,-11.98729133605957,-11.928749084472656,-12.010743141174316,-12.396687507629396
11,-5.451710224151611,-12.410381317138672,-12.709546089172363,-13.012466430664062,-12.462234497070312,-13.081819534301758
10,-4.659974575042725,-12.813876152038574,-12.51539707183838,-12.407304763793944,-12.441228866577148,-12.85256576538086
0,-6.007023811340332,-8.000432014465332,-6.8302812576293945,-11.064221382141112,-10.911703109741213,-11.876256942749023
17,-5.362137317657471,-6.464646816253662,-11.475149154663086,-10.750027656555176,-11.311810493469238,-12.255948066711426
18,-6.377609729766846,-9.29676914215088,-13.40323257446289,-12.780210494995115,-11.935036659240724,-12.649292945861816
19,-5.4276323318481445,-7.313143253326416,-10.542346000671388,-11.835427284240724,-11.902252197265623,-12.325872421264648
16,-5.591729164123535,-6.642674922943115,-11.232901573181152,-11.685469627380373,-11.872761726379396,-11.951770782470703
4,-5.861106872558594,-12.063668251037598,-12.133011817932127,-11.962128639221191,-12.317397117614746,-12.083712577819824
20,-5.723907470703125,-8.62100601196289,-12.825512886047363,-12.118928909301758,-12.56437873840332,-12.535165786743164
5,-5.962749004364014,-12.117358207702637,-11.80436897277832,-11.919774055480955,-12.37119483947754,-12.236283302307127
13,-6.466951847076416,-6.758138179779053,-12.440903663635254,-13.071712493896484,-13.28541374206543,-13.146407127380373
6,-5.464663982391357,-12.777437210083008,-12.319284439086914,-12.177681922912598,-12.474457740783691,-12.189200401306152
