,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-8.300031661987305,-7.128489017486572,-7.536753177642822,-10.946298599243164,-11.584188461303713,-12.459197998046877
1,-8.005558967590332,-11.298298835754396,-10.726367950439451,-10.686080932617188,-10.876631736755373,-11.64445686340332
2,-8.740556716918945,-10.392070770263672,-10.56993293762207,-10.16298007965088,-11.014948844909668,-11.330731391906738
4,-8.5444974899292,-7.5134358406066895,-10.376413345336914,-10.738228797912598,-10.29823398590088,-11.570733070373535
3,-8.294727325439453,-8.579018592834473,-9.229870796203612,-10.310808181762695,-10.385436058044434,-10.51583194732666
5,-11.317526817321776,-10.587254524230955,-11.39897632598877,-10.228779792785645,-8.486802101135254,-7.74233865737915
7,-8.67633056640625,-9.250325202941896,-11.349831581115724,-9.968093872070312,-10.241060256958008,-11.467317581176758
6,-9.818036079406738,-9.035688400268556,-11.846479415893556,-8.892833709716797,-11.759075164794922,-11.87519359588623
15,-7.656235218048096,-9.53620147705078,-10.761690139770508,-11.176420211791992,-9.557400703430176,-11.113813400268556
8,-9.137161254882812,-9.92025089263916,-11.224957466125488,-9.071008682250977,-10.351614952087402,-9.30238151550293
9,-8.476338386535645,-9.753643035888672,-9.957266807556152,-10.943596839904783,-10.467809677124023,-11.280959129333496
14,-8.47630786895752,-5.505803108215332,-10.870585441589355,-10.937704086303713,-10.805791854858398,-11.882862091064451
10,-8.715921401977539,-8.920193672180176,-9.576801300048828,-10.559592247009276,-11.213896751403809,-10.963228225708008
12,-8.827007293701172,-10.162841796875,-12.029075622558594,-9.714072227478027,-8.257661819458008,-9.315563201904297
11,-7.822450160980225,-7.201663494110107,-8.604732513427734,-6.9571852684021,-6.823338985443115,-8.54090404510498
13,-8.481963157653809,-7.876764297485352,-10.630572319030762,-10.970616340637209,-10.563226699829102,-12.14296817779541
16,-8.972039222717285,-9.274800300598145,-11.235431671142578,-8.820294380187988,-9.57858943939209,-10.746262550354004
17,-9.365177154541016,-10.00205898284912,-10.957119941711426,-10.72878074645996,-11.100870132446287,-11.696207046508787
18,-10.004060745239258,-8.142034530639648,-10.75717544555664,-10.75717544555664,-10.984188079833984,-11.620606422424316
19,-9.621710777282717,-9.207921981811523,-10.96842098236084,-10.212151527404783,-9.736576080322266,-10.966099739074707
