,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
1,-7.414795398712158,-9.333869934082031,-10.370800018310549,-10.32763385772705,-10.27345371246338,-11.691831588745115
3,-7.300532817840576,-11.363041877746582,-10.08799648284912,-9.91013240814209,-9.990816116333008,-11.069717407226562
8,-8.968507766723633,-9.93388557434082,-9.791207313537598,-9.455854415893556,-8.953056335449219,-8.183001518249512
15,-9.626455307006836,-7.075495719909668,-11.30742359161377,-11.073058128356934,-10.900513648986816,-10.776182174682615
2,-7.483676433563232,-6.6186699867248535,-8.64692497253418,-10.31004810333252,-9.06083869934082,-9.591436386108398
14,-7.266472339630127,-8.857732772827148,-10.504412651062012,-9.484551429748535,-9.807503700256348,-11.229256629943848
12,-9.244343757629396,-13.32912826538086,-10.641383171081545,-11.3828763961792,-11.396425247192385,-12.261963844299316
21,-8.739279747009277,-6.307949066162109,-9.07045078277588,-8.437171936035156,-7.778375148773193,-8.224029541015625
23,-9.639914512634276,-8.277705192565918,-11.075231552124023,-10.39374542236328,-10.26798152923584,-10.733181953430176
9,-8.040040016174316,-10.505170822143556,-10.432692527770996,-9.673857688903809,-10.106585502624512,-11.41721248626709
11,-7.129543304443359,-9.295496940612791,-10.919319152832031,-10.822905540466309,-10.081714630126951,-11.21498680114746
10,-7.843900203704834,-6.89302396774292,-10.152227401733398,-9.955401420593262,-10.412933349609377,-11.372077941894531
20,-7.167241096496582,-9.920708656311035,-9.78557014465332,-10.122526168823242,-9.779548645019531,-10.71469020843506
0,-8.087481498718262,-10.902156829833984,-10.926740646362305,-9.857136726379396,-9.19109344482422,-11.113938331604004
6,-6.763078212738037,-10.237398147583008,-10.567127227783203,-10.601677894592283,-10.927303314208984,-10.808897018432615
5,-8.374876976013184,-9.097638130187988,-9.489770889282228,-8.353346824645996,-8.25511646270752,-9.12037754058838
7,-8.975259780883789,-5.707766532897949,-9.299254417419434,-11.140219688415527,-10.779075622558594,-11.427129745483398
4,-8.532773971557617,-6.883292675018311,-8.102231979370117,-8.703750610351562,-8.996379852294922,-7.417174339294434
17,-8.758809089660645,-8.549694061279297,-10.222977638244627,-9.880585670471191,-10.07777214050293,-11.454418182373049
18,-10.843214988708496,-12.515985488891602,-9.73367691040039,-9.8792724609375,-10.91985321044922,-12.406015396118164
19,-8.281980514526367,-10.50857639312744,-8.736063003540039,-9.611186027526855,-10.400617599487305,-10.660916328430176
16,-7.76220178604126,-6.729465484619141,-9.987110137939451,-10.862112045288086,-11.892805099487305,-11.45628261566162
13,-7.824923038482666,-10.013915061950684,-10.70069694519043,-10.817795753479004,-10.893668174743652,-11.018661499023438
