,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-3.486290454864502,-5.083708763122559,-11.529388427734377,-10.484170913696287,-10.599294662475586,-10.752058029174805
1,-3.309176206588745,-11.443282127380373,-10.94060516357422,-11.670741081237791,-9.32176113128662,-11.109726905822754
2,-2.9351577758789062,-11.347600936889648,-10.850815773010254,-10.410148620605469,-10.751786231994627,-11.01661491394043
4,-1.9085419178009035,-5.076019763946533,-10.474538803100586,-10.603201866149902,-9.291668891906738,-10.579374313354492
3,-2.7278435230255127,-10.677081108093262,-11.16974925994873,-11.294922828674316,-11.324809074401855,-11.845026969909668
5,-3.883553266525269,-11.379188537597656,-12.739628791809082,-11.156517028808594,-10.414505004882812,-11.91540813446045
7,-3.3260560035705566,-6.533226490020752,-9.06074333190918,-12.582619667053224,-8.907428741455078,-10.643054008483888
6,-2.9247589111328125,-12.42218780517578,-11.740240097045898,-11.69740104675293,-11.71255111694336,-12.002904891967772
15,-2.306959629058838,-3.66894268989563,-11.563238143920898,-12.515341758728027,-11.68664264678955,-11.531390190124512
8,-3.4714460372924805,-7.053855895996094,-6.582348346710205,-10.835514068603516,-10.030033111572266,-10.687151908874512
9,-3.762275695800781,-11.46957015991211,-11.49631118774414,-10.394427299499512,-10.19273281097412,-11.050482749938965
14,-3.638950109481812,-5.120615005493164,-10.998102188110352,-10.19015884399414,-10.910964965820312,-11.26765251159668
10,-3.037288188934326,-9.808023452758787,-10.733025550842283,-10.383026123046877,-11.545364379882812,-10.494207382202148
12,-2.964263439178467,-11.314653396606444,-11.00885009765625,-10.914729118347168,-10.96963119506836,-12.004176139831545
11,-2.838840961456299,-6.669341087341309,-12.299134254455566,-12.06968116760254,-11.40584945678711,-11.887683868408203
13,-3.328574657440185,-11.68741512298584,-11.270237922668455,-11.183844566345217,-11.107149124145508,-12.36935043334961
16,-3.0730690956115723,-12.568558692932127,-11.843832969665527,-11.882038116455078,-11.837977409362791,-12.362486839294434
17,-3.230518579483032,-11.153119087219238,-11.348426818847656,-10.982259750366213,-10.777473449707031,-11.033053398132324
18,-4.376636505126953,-10.707111358642578,-12.330400466918944,-12.078351974487305,-11.723142623901367,-11.02723789215088
19,-2.545248985290528,-11.5449857711792,-10.744824409484863,-11.77033805847168,-11.208806991577148,-9.161388397216797
