,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
1,-1.2437372207641602,-8.518115043640137,-8.885744094848633,-9.56226634979248,-11.304463386535645,-11.240428924560549
3,-1.1946494579315186,-11.394688606262209,-11.180500030517578,-10.874238967895508,-11.094490051269531,-11.422870635986328
8,-1.79972505569458,-12.143025398254396,-11.54460906982422,-11.160694122314451,-11.841219902038574,-11.510300636291504
15,-0.9216026663780212,-10.99848747253418,-11.616016387939451,-11.161548614501951,-10.358908653259276,-10.984347343444824
2,-1.205963969230652,-10.00302028656006,-11.238313674926758,-11.533880233764648,-10.977591514587402,-11.435819625854492
14,-1.4123913049697876,-1.8251361846923828,-11.633394241333008,-10.345358848571776,-10.524247169494627,-11.39889907836914
12,-1.165202498435974,-12.400755882263184,-11.47106647491455,-11.453980445861816,-11.596697807312012,-12.531412124633787
21,-1.2395683526992798,-8.89375114440918,-8.970033645629883,-10.518548965454102,-10.267866134643556,-10.8900785446167
23,-2.6649434566497803,-10.706195831298828,-10.293458938598633,-10.605974197387695,-10.827337265014648,-10.685905456542969
9,-1.6218703985214231,-2.0917787551879883,-9.970870971679688,-10.167558670043944,-9.364859580993652,-10.344159126281738
11,-1.7651746273040771,-9.041685104370115,-9.52613639831543,-9.274754524230955,-9.43157958984375,-10.276351928710938
10,-1.550344705581665,-4.096007823944092,-7.833049774169922,-10.948365211486816,-11.271450996398926,-11.777204513549805
20,-1.3565908670425415,-2.8729872703552246,-10.472973823547363,-10.561752319335938,-10.478067398071287,-11.672513961791992
0,-0.7472880482673645,-11.346993446350098,-12.928088188171388,-12.697237968444824,-12.078595161437988,-11.214256286621094
6,-3.867976427078247,-11.033350944519045,-10.65850830078125,-10.541648864746094,-10.389923095703123,-11.652572631835938
5,-2.089916944503784,-3.195787191390991,-12.111271858215332,-12.09659481048584,-12.050905227661133,-12.439312934875488
7,-2.263666868209839,-9.233567237854004,-10.011289596557615,-9.823969841003418,-9.577571868896484,-10.262155532836914
4,-1.2429264783859253,-6.98900842666626,-11.097533226013184,-10.874570846557615,-9.849252700805664,-10.971638679504396
17,-0.9707534909248352,-11.411370277404783,-11.64848804473877,-10.722232818603516,-10.599992752075195,-11.057064056396484
18,-1.5882269144058228,-4.7481689453125,-11.586726188659668,-10.384005546569824,-10.692843437194824,-10.83559513092041
19,-2.7118191719055176,-3.1384434700012207,-11.152923583984377,-11.738889694213867,-11.508206367492676,-11.511024475097656
16,-2.7275590896606445,-9.126218795776367,-9.725174903869627,-10.601730346679688,-9.946398735046388,-11.16994857788086
13,-2.5842885971069336,-10.471756935119627,-9.02834415435791,-8.689632415771484,-9.008075714111328,-8.82107925415039
