,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-8.078768730163574,-7.57114839553833,-7.9366350173950195,-8.131485939025879,-8.50255012512207,-7.900267601013184
1,-8.9459810256958,-9.906063079833984,-8.936158180236816,-8.936158180236816,-9.027300834655762,-8.60189151763916
2,-10.283239364624023,-9.656800270080566,-8.75169563293457,-8.814685821533203,-8.609369277954102,-8.844889640808105
4,-8.540634155273438,-7.961499214172363,-8.78795337677002,-8.22420883178711,-8.529826164245605,-8.952447891235352
3,-8.753838539123535,-9.135475158691406,-9.328749656677246,-9.17591667175293,-9.55580997467041,-9.252827644348145
5,-8.922149658203125,-9.633343696594238,-8.319245338439941,-8.717720985412598,-9.380844116210938,-8.9513521194458
7,-9.496798515319824,-9.29523754119873,-9.400203704833984,-9.217413902282717,-8.347758293151855,-8.76750659942627
6,-8.474291801452637,-7.728895664215088,-8.491342544555664,-7.792138576507568,-8.366599082946777,-8.031341552734375
8,-10.072067260742188,-8.612277030944824,-8.514619827270508,-8.550152778625488,-8.507549285888672,-9.161062240600586
15,-8.751351356506348,-9.148940086364746,-10.117668151855469,-8.974719047546387,-9.264934539794922,-9.291427612304688
9,-9.07913303375244,-8.688379287719727,-8.691742897033691,-8.332423210144043,-8.232516288757324,-8.388859748840332
14,-8.177508354187012,-8.735394477844238,-9.225363731384276,-8.218071937561035,-8.469202995300293,-8.303749084472656
10,-10.221548080444336,-7.669041633605957,-7.805315971374512,-9.679645538330078,-8.396575927734375,-8.56979751586914
12,-8.088310241699219,-6.873751640319824,-8.597260475158691,-8.38758659362793,-8.66618537902832,-8.882850646972656
11,-8.776945114135742,-9.535039901733398,-7.602269649505615,-7.740766525268555,-6.766861438751221,-7.031224250793457
13,-8.307918548583984,-8.798365592956543,-9.269405364990234,-9.003110885620117,-9.249744415283203,-9.665517807006836
16,-8.552062034606934,-7.259682178497314,-8.273553848266602,-7.146545886993408,-6.856382369995117,-7.000164031982422
17,-9.619264602661133,-11.280932426452637,-8.656415939331055,-8.707565307617188,-8.240229606628418,-8.92226505279541
18,-8.770825386047363,-9.037510871887209,-8.883814811706543,-8.288166999816895,-7.773349761962891,-8.013845443725586
19,-9.783632278442385,-9.771238327026367,-11.726550102233888,-11.264284133911133,-8.029903411865234,-8.292938232421875
