,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
1,-6.905440807342529,-6.964640140533447,-8.123573303222656,-8.403672218322754,-8.377239227294922,-8.614500999450684
3,-7.707036972045898,-8.250982284545898,-8.31943130493164,-8.28836441040039,-8.328227996826172,-8.428431510925293
8,-9.219724655151367,-7.391679763793945,-8.715606689453125,-8.725357055664062,-8.492782592773438,-7.651664733886719
2,-9.228819847106934,-7.902528285980225,-5.92397403717041,-5.558826446533203,-7.951709270477295,-7.561715602874756
14,-8.130309104919434,-9.481107711791992,-9.02313232421875,-9.397643089294434,-9.394898414611816,-9.38772964477539
12,-7.9953999519348145,-9.005805015563965,-8.175935745239258,-8.260446548461914,-7.879556655883789,-8.328913688659668
21,-9.903364181518556,-9.542468070983888,-8.867634773254395,-8.960721015930176,-8.835384368896484,-8.825045585632324
23,-8.367694854736328,-9.255485534667969,-9.016748428344728,-8.8024320602417,-8.981893539428711,-8.353768348693848
9,-8.10423469543457,-8.697091102600098,-7.375108242034912,-7.971487998962402,-8.382555961608887,-8.655869483947754
0,-8.048604011535645,-9.136234283447266,-8.80450439453125,-8.528388977050781,-8.937302589416504,-8.855597496032715
10,-8.276886940002441,-8.436915397644043,-10.29979419708252,-9.426467895507812,-8.920141220092773,-9.008045196533203
17,-7.26760721206665,-6.187718391418457,-8.469542503356934,-8.134875297546387,-6.702500343322754,-6.910036563873291
11,-7.696328163146973,-8.019408226013184,-8.6541166305542,-8.248993873596191,-7.90614652633667,-7.966866970062256
18,-8.407288551330566,-7.406950950622559,-8.092035293579102,-7.363704204559326,-7.928578853607178,-7.342335224151611
19,-9.87766456604004,-8.912788391113281,-7.926112174987793,-7.099283218383789,-7.921147346496582,-7.920433521270752
16,-9.58786392211914,-8.560165405273438,-7.927706241607666,-7.468564510345459,-7.594542503356934,-8.0841064453125
4,-8.88439655303955,-8.981123924255371,-8.349424362182617,-7.600818634033203,-7.773876667022705,-7.922731876373291
20,-9.071664810180664,-8.14177131652832,-8.45190715789795,-8.343415260314941,-8.178022384643555,-8.243849754333496
5,-10.531002044677734,-8.102519989013672,-7.337566375732422,-8.185251235961914,-8.413776397705078,-8.415389060974121
13,-8.010824203491211,-7.4676690101623535,-8.165090560913086,-8.383173942565918,-8.923114776611328,-8.707107543945312
6,-7.589252471923828,-7.134130001068115,-8.295907020568848,-8.145017623901367,-7.852195262908935,-8.659150123596191
