,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
1,-7.410775184631348,-5.696252822875977,-9.494067192077637,-10.055768013000488,-9.876323699951172,-10.634883880615234
3,-7.673429489135742,-8.917844772338867,-11.0402250289917,-11.956290245056152,-10.270902633666992,-10.526778221130373
8,-6.747736930847168,-7.518733978271484,-10.125862121582031,-10.288362503051758,-9.394177436828612,-9.587696075439451
15,-5.217048645019531,-8.20778751373291,-9.516603469848633,-9.10431671142578,-9.789941787719728,-10.45571231842041
2,-7.812052249908447,-7.465631008148193,-11.241741180419922,-9.87632656097412,-10.367563247680664,-10.636773109436035
14,-5.432066917419434,-9.534706115722656,-10.869986534118652,-10.645647048950195,-9.455751419067385,-9.837557792663574
12,-6.139335632324219,-5.995862007141113,-9.813814163208008,-9.842377662658691,-9.241168022155762,-8.662519454956055
21,-8.12639331817627,-7.982749938964844,-10.727341651916504,-9.27862548828125,-8.49937629699707,-9.338339805603027
23,-8.176651000976562,-6.684096336364746,-6.548218727111816,-10.167160034179688,-10.530976295471191,-11.094691276550291
9,-7.538361072540283,-8.75594711303711,-11.0276517868042,-10.69024658203125,-10.390582084655762,-10.200166702270508
11,-7.637319087982178,-9.917712211608888,-10.453011512756348,-10.082465171813965,-9.979463577270508,-10.482832908630373
10,-7.55756950378418,-4.961094379425049,-5.159730911254883,-8.977036476135254,-9.885409355163574,-9.823760986328123
20,-8.373575210571289,-10.352397918701172,-10.696304321289062,-10.629111289978027,-10.877120018005373,-8.3010892868042
0,-6.32969331741333,-8.779690742492676,-10.226070404052734,-9.073991775512695,-7.834290504455566,-8.452922821044922
6,-6.270009517669678,-7.5237202644348145,-10.5315580368042,-10.943251609802246,-10.32496738433838,-9.985514640808104
5,-7.665261268615723,-10.65666389465332,-9.809473037719728,-9.721899032592772,-9.86772918701172,-9.751895904541016
7,-6.524455547332764,-6.743062496185303,-8.070167541503906,-10.2704439163208,-10.295260429382324,-10.15878677368164
4,-6.702563762664795,-5.997143268585205,-9.754375457763672,-9.60673713684082,-8.915740013122559,-9.710018157958984
17,-7.00262975692749,-9.101475715637209,-10.687655448913574,-9.846092224121094,-9.51110553741455,-10.2317533493042
18,-6.071084976196289,-10.193544387817385,-10.975329399108888,-10.264666557312012,-10.656255722045898,-11.390874862670898
19,-6.299250602722168,-7.202683925628662,-9.846096992492676,-9.466571807861328,-9.203656196594238,-9.515010833740234
16,-6.906938552856445,-10.534728050231934,-10.045470237731934,-9.712886810302734,-9.833550453186035,-10.856904029846191
13,-7.130003452301025,-9.59141731262207,-10.465570449829102,-10.507767677307127,-9.837783813476562,-10.929427146911621
