,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-5.819076061248779,-6.484020709991455,-10.787298202514648,-8.578607559204102,-8.375091552734375,-8.452922821044922
1,-5.623363971710205,-5.659173488616943,-9.34294605255127,-9.540355682373049,-9.691323280334473,-10.634883880615234
2,-6.370960235595703,-6.837167739868164,-11.347075462341309,-9.431107521057127,-9.850859642028809,-10.636773109436035
4,-6.252473831176758,-6.1191253662109375,-10.079179763793944,-9.355838775634766,-9.28520393371582,-9.710018157958984
3,-6.058393478393555,-6.371143341064453,-10.669139862060549,-10.953930854797363,-9.797346115112305,-10.526778221130373
5,-7.076773643493652,-9.412506103515623,-10.013664245605469,-9.487613677978516,-9.840082168579102,-9.751895904541016
7,-6.437827110290527,-6.4351348876953125,-6.99235725402832,-9.992290496826172,-9.960923194885254,-10.15878677368164
6,-5.489969253540039,-4.473921775817871,-10.225852012634276,-10.33016586303711,-10.329458236694336,-9.985514640808104
15,-5.481417655944824,-6.937072277069092,-9.218459129333496,-8.361649513244629,-9.39001178741455,-10.45571231842041
14,-4.985736846923828,-8.621068000793457,-10.800021171569824,-10.679851531982422,-8.442975044250488,-9.837557792663574
8,-6.7749505043029785,-7.577434062957764,-9.986443519592283,-10.128862380981444,-8.839214324951172,-9.587696075439451
9,-6.357818603515625,-8.056519508361816,-11.161677360534668,-10.166337013244627,-10.862627029418944,-10.200166702270508
10,-6.977773666381836,-4.791277885437012,-4.741371154785156,-8.600508689880371,-9.341123580932615,-9.823760986328123
12,-5.716392517089844,-6.167295932769775,-8.978700637817383,-9.371803283691406,-9.289125442504885,-8.662519454956055
11,-6.5103759765625,-9.482690811157228,-10.97618293762207,-9.756546020507812,-10.25969696044922,-10.482832908630373
13,-6.694072723388672,-8.967759132385254,-9.79970645904541,-10.091594696044922,-8.823343276977539,-10.92942714691162
16,-5.912339687347412,-9.57172966003418,-9.82192039489746,-9.343246459960938,-9.655576705932615,-10.856904029846191
17,-5.74411678314209,-8.174301147460938,-10.085844993591309,-9.60512638092041,-9.555593490600586,-10.2317533493042
18,-6.243166923522949,-9.837044715881348,-10.885628700256348,-10.73050308227539,-10.671908378601074,-11.390874862670898
19,-5.823322296142578,-6.097797870635986,-10.00153923034668,-9.644048690795898,-9.686729431152344,-9.515010833740234
